batch	username	annotator	code
goedkoop_3	zsofia.vajda	ann_1	1_1
hemels_5	zsofia.vajda	ann_1	1_1
gekleurd_1	zsofia.vajda	ann_1	1_1
harden_7	zsofia.vajda	ann_1	1_1
stof_2	zsofia.vajda	ann_1	1_1
heilzaam_5	zsofia.vajda	ann_1	1_1
herinneren_4	zsofia.vajda	ann_1	1_1
heffen_5	zsofia.vajda	ann_1	1_1
haken_7	zsofia.vajda	ann_1	1_1
spot_2	zsofia.vajda	ann_1	1_1
spoor_2	zsofia.vajda	ann_1	1_1
grijs_4	zsofia.vajda	ann_1	1_1
hoopvol_4	eline.devocht	ann_1	10_1
dof_6	eline.devocht	ann_1	10_1
hachelijk_4	eline.devocht	ann_1	10_1
goedkoop_6	eline.devocht	ann_1	10_1
hoop_4	eline.devocht	ann_1	10_1
schaal_5	eline.devocht	ann_1	10_1
staal_4	eline.devocht	ann_1	10_1
herstructureren_3	eline.devocht	ann_1	10_1
haken_8	eline.devocht	ann_1	10_1
herstellen_6	eline.devocht	ann_1	10_1
huldigen_3	eline.devocht	ann_1	10_1
herinneren_3	eline.devocht	ann_1	10_1
hoekig_3	severine.vankessel2	ann_3	11_3
gekleurd_3	severine.vankessel2	ann_3	11_3
geldig_1	severine.vankessel2	ann_3	11_3
grijs_2	severine.vankessel2	ann_3	11_3
hoop_2	severine.vankessel2	ann_3	11_3
spoor_4	severine.vankessel2	ann_3	11_3
staal_8	severine.vankessel2	ann_3	11_3
haken_2	severine.vankessel2	ann_3	11_3
heffen_6	severine.vankessel2	ann_3	11_3
harden_3	severine.vankessel2	ann_3	11_3
huldigen_1	severine.vankessel2	ann_3	11_3
dof_5	severine.vankessel2	ann_3	11_3
hoekig_3	laura.cox1	ann_1	11_1
gekleurd_3	laura.cox1	ann_1	11_1
geldig_1	laura.cox1	ann_1	11_1
grijs_2	laura.cox1	ann_1	11_1
hoop_2	laura.cox1	ann_1	11_1
spoor_4	laura.cox1	ann_1	11_1
staal_8	laura.cox1	ann_1	11_1
haken_2	laura.cox1	ann_1	11_1
heffen_6	laura.cox1	ann_1	11_1
harden_3	laura.cox1	ann_1	11_1
huldigen_1	laura.cox1	ann_1	11_1
dof_5	laura.cox1	ann_1	11_1
hoekig_3	artem.oleynikov	ann_2	11_2
gekleurd_3	artem.oleynikov	ann_2	11_2
geldig_1	artem.oleynikov	ann_2	11_2
grijs_2	artem.oleynikov	ann_2	11_2
hoop_2	artem.oleynikov	ann_2	11_2
spoor_4	artem.oleynikov	ann_2	11_2
staal_8	artem.oleynikov	ann_2	11_2
haken_2	artem.oleynikov	ann_2	11_2
heffen_6	artem.oleynikov	ann_2	11_2
harden_3	artem.oleynikov	ann_2	11_2
huldigen_1	artem.oleynikov	ann_2	11_2
dof_5	artem.oleynikov	ann_2	11_2
heet_3	ynse.bergans	ann_1	12_1
geestig_2	ynse.bergans	ann_1	12_1
dof_3	ynse.bergans	ann_1	12_1
grijs_3	ynse.bergans	ann_1	12_1
horde_6	ynse.bergans	ann_1	12_1
schaal_1	ynse.bergans	ann_1	12_1
spot_3	ynse.bergans	ann_1	12_1
herroepen_6	ynse.bergans	ann_1	12_1
herhalen_5	ynse.bergans	ann_1	12_1
herkennen_2	ynse.bergans	ann_1	12_1
harden_8	ynse.bergans	ann_1	12_1
hoekig_5	ynse.bergans	ann_1	12_1
heet_3	mieke.scholts	ann_2	12_2
geestig_2	mieke.scholts	ann_2	12_2
dof_3	mieke.scholts	ann_2	12_2
grijs_3	mieke.scholts	ann_2	12_2
horde_6	mieke.scholts	ann_2	12_2
schaal_1	mieke.scholts	ann_2	12_2
spot_3	mieke.scholts	ann_2	12_2
herroepen_6	mieke.scholts	ann_2	12_2
herhalen_5	mieke.scholts	ann_2	12_2
herkennen_2	mieke.scholts	ann_2	12_2
harden_8	mieke.scholts	ann_2	12_2
hoekig_5	mieke.scholts	ann_2	12_2
heet_3	stien.verhaegen	ann_3	12_3
geestig_2	stien.verhaegen	ann_3	12_3
dof_3	stien.verhaegen	ann_3	12_3
grijs_3	stien.verhaegen	ann_3	12_3
horde_6	stien.verhaegen	ann_3	12_3
schaal_1	stien.verhaegen	ann_3	12_3
spot_3	stien.verhaegen	ann_3	12_3
herroepen_6	stien.verhaegen	ann_3	12_3
herhalen_5	stien.verhaegen	ann_3	12_3
herkennen_2	stien.verhaegen	ann_3	12_3
harden_8	stien.verhaegen	ann_3	12_3
hoekig_5	stien.verhaegen	ann_3	12_3
geestig_3	anais.stals	ann_2	13_2
dof_4	anais.stals	ann_2	13_2
hachelijk_2	anais.stals	ann_2	13_2
heilzaam_2	anais.stals	ann_2	13_2
spoor_6	anais.stals	ann_2	13_2
horde_1	anais.stals	ann_2	13_2
schaal_7	anais.stals	ann_2	13_2
helpen_4	anais.stals	ann_2	13_2
herinneren_5	anais.stals	ann_2	13_2
haken_5	anais.stals	ann_2	13_2
herstellen_2	anais.stals	ann_2	13_2
staal_6	anais.stals	ann_2	13_2
geestig_3	cindy.hermans	ann_1	13_1
dof_4	cindy.hermans	ann_1	13_1
hachelijk_2	cindy.hermans	ann_1	13_1
heilzaam_2	cindy.hermans	ann_1	13_1
spoor_6	cindy.hermans	ann_1	13_1
horde_1	cindy.hermans	ann_1	13_1
schaal_7	cindy.hermans	ann_1	13_1
helpen_4	cindy.hermans	ann_1	13_1
herinneren_5	cindy.hermans	ann_1	13_1
haken_5	cindy.hermans	ann_1	13_1
herstellen_2	cindy.hermans	ann_1	13_1
staal_6	cindy.hermans	ann_1	13_1
geestig_3	yasmine.yurtsever	ann_3	13_3
dof_4	yasmine.yurtsever	ann_3	13_3
hachelijk_2	yasmine.yurtsever	ann_3	13_3
heilzaam_2	yasmine.yurtsever	ann_3	13_3
spoor_6	yasmine.yurtsever	ann_3	13_3
horde_1	yasmine.yurtsever	ann_3	13_3
schaal_7	yasmine.yurtsever	ann_3	13_3
helpen_4	yasmine.yurtsever	ann_3	13_3
herinneren_5	yasmine.yurtsever	ann_3	13_3
haken_5	yasmine.yurtsever	ann_3	13_3
herstellen_2	yasmine.yurtsever	ann_3	13_3
staal_6	yasmine.yurtsever	ann_3	13_3
geestig_7	isabelle.maes	ann_1	14_1
heet_4	isabelle.maes	ann_1	14_1
dof_7	isabelle.maes	ann_1	14_1
gemeen_8	isabelle.maes	ann_1	14_1
stof_7	isabelle.maes	ann_1	14_1
schaal_8	isabelle.maes	ann_1	14_1
helpen_1	isabelle.maes	ann_1	14_1
herhalen_1	isabelle.maes	ann_1	14_1
herroepen_2	isabelle.maes	ann_1	14_1
haten_5	isabelle.maes	ann_1	14_1
horde_3	isabelle.maes	ann_1	14_1
herstructureren_4	isabelle.maes	ann_1	14_1
geestig_1	kato.deferm	ann_1	15_1
heilzaam_4	kato.deferm	ann_1	15_1
goedkoop_8	kato.deferm	ann_1	15_1
hoopvol_5	kato.deferm	ann_1	15_1
heffen_2	kato.deferm	ann_1	15_1
helpen_5	kato.deferm	ann_1	15_1
huldigen_5	kato.deferm	ann_1	15_1
spot_6	kato.deferm	ann_1	15_1
herkennen_6	kato.deferm	ann_1	15_1
staal_2	kato.deferm	ann_1	15_1
blik_4	kato.deferm	ann_1	15_1
heet_5	kato.deferm	ann_1	15_1
geestig_6	romy.boonen	ann_2	16_2
goedkoop_7	romy.boonen	ann_2	16_2
hoekig_1	romy.boonen	ann_2	16_2
gekleurd_7	romy.boonen	ann_2	16_2
herstructureren_5	romy.boonen	ann_2	16_2
herhalen_4	romy.boonen	ann_2	16_2
staal_1	romy.boonen	ann_2	16_2
heffen_3	romy.boonen	ann_2	16_2
herstellen_3	romy.boonen	ann_2	16_2
hoop_8	romy.boonen	ann_2	16_2
spoor_7	romy.boonen	ann_2	16_2
heet_2	romy.boonen	ann_2	16_2
geestig_6	lotte.wille	ann_3	16_3
goedkoop_7	lotte.wille	ann_3	16_3
hoekig_1	lotte.wille	ann_3	16_3
gekleurd_7	lotte.wille	ann_3	16_3
herstructureren_5	lotte.wille	ann_3	16_3
herhalen_4	lotte.wille	ann_3	16_3
staal_1	lotte.wille	ann_3	16_3
heffen_3	lotte.wille	ann_3	16_3
herstellen_3	lotte.wille	ann_3	16_3
hoop_8	lotte.wille	ann_3	16_3
spoor_7	lotte.wille	ann_3	16_3
heet_2	lotte.wille	ann_3	16_3
geestig_6	maren.biesbrouck	ann_1	16_1
goedkoop_7	maren.biesbrouck	ann_1	16_1
hoekig_1	maren.biesbrouck	ann_1	16_1
