measure	globqual	meanclassqual	classqual_herstellen_2	classqual_herstellen_3	classqual_herstellen_4	classqual_herstellen_5	classqual_herstellen_1	model	technique
DR	1.4922010411173077	1.525343841633651	1.2769385452205153	1.268328315485044	2.333589258117651	1.391015061624215	1.3568480277208301	herstellen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.007728050749201494	0.015403069475848593	-0.07342282520037074	-0.1867942163071363	0.44870090042054656	-0.10165827629553166	-0.009810235238264886	herstellen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.5147242107683997	0.4232339771128734	0.614962091009945	0.08902796231683228	0.6422695537353122	0.5106034021076825	0.2593068763945951	herstellen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k14	0.5601769911504425	0.46994156606068405	0.6802568218298556	0.1707936507936508	0.6180451127819548	0.5482993197278911	0.332312925170068	herstellen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.5687851971037812	0.47916954541614504	0.6872318692543411	0.1781818181818182	0.6320574162679425	0.5548701298701298	0.3435064935064935	herstellen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.459949429833294	1.4744609232959196	1.2482546946084045	1.0827643314311772	2.3554965474895155	1.3536241551247556	1.3321648878257455	herstellen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	-0.005359715185090584	0.0013160927810195885	-0.13683689640146443	-0.2981138418169221	0.4648663413127368	-0.05616576062254434	0.03283062143329199	herstellen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.4752225196944576	0.38290417981113256	0.5568264099568299	0.052681912343344295	0.5167305874638384	0.5480304377088334	0.24025155158281672	herstellen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k14	0.5282764433206911	0.4419014215581758	0.6141252006420546	0.11365079365079364	0.5849624060150376	0.560374149659864	0.33639455782312927	herstellen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.5424778761061947	0.45604529710384234	0.6324821246169561	0.12727272727272726	0.5808612440191387	0.5720779220779221	0.36753246753246754	herstellen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.4105960294797282	1.497737629875337	1.1658865412928483	1.622718051657372	2.119771059301377	1.3532135549835602	1.227098942141528	herstellen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	-0.04731533493039841	0.0016457075997394182	-0.19901615002663378	0.07739651401481663	0.4296863901520116	-0.07408531521201428	-0.22575290092948308	herstellen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.5732356494079158	0.45019535114951137	0.7310570607923662	0.08780556684043171	0.5953225653076482	0.6113454861704347	0.22544607663667618	herstellen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k14	0.5869785082174462	0.48068819185470363	0.7281968967362226	0.18793650793650793	0.6012531328320802	0.6204081632653061	0.26564625850340134	herstellen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.5967015285599356	0.4906795128782119	0.7350357507660878	0.1903030303030303	0.6196172248803827	0.6285714285714286	0.2798701298701299	herstellen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.1557655142581025	1.1747973450800087	0.9938981479415766	0.929931676871829	1.926219272031651	1.0332324987753958	0.9907051297795905	herstellen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	-0.1005154953496921	-0.09588193189598716	-0.1900684538363213	-0.28527444754888054	0.4135555456463446	-0.19796353836341088	-0.2196587653776677	herstellen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.3608063775050793	0.2774476139101826	0.5031096907790641	0.03316891009043026	0.4355484052247347	0.28877128607598923	0.12663977738069468	herstellen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k14	0.3995785924989465	0.3221048192981115	0.5436062065275549	0.14222222222222222	0.431328320802005	0.3423469387755102	0.1510204081632653	herstellen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k10	0.416331456154465	0.3388026398990326	0.5603677221654749	0.16484848484848486	0.4473684210526316	0.36233766233766235	0.1590909090909091	herstellen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	1.2730639052202768	1.2475152902148283	1.1821186044800698	0.9954410373623489	1.6780502262653698	1.3254035106956854	1.056563072270668	herstellen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	-0.03037784864876402	-0.051284697593549804	-0.0513323051715255	-0.23597756776111659	0.20759405650543153	-0.060639802214624	-0.11606786932591447	herstellen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
