measure	globqual	meanclassqual	classqual_geldig_1	classqual_geldig_2	model	technique
DR	1.0772546390360243	1.1854463266668716	1.0519331802288048	1.3189594731049386	geldig.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
SIL	0.034178510119801234	0.10528194541759878	0.01753728058201883	0.19302661025317872	geldig.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
SCP	0.8310377838046727	0.5045920469081691	0.9074399775464076	0.1017441162699305	geldig.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
kNN	0.8551724137931035	0.6055568673750492	0.9135930735930736	0.2975206611570248	geldig.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
DR	1.0753227735433009	1.208822959917526	1.0440780490727375	1.3735678707623147	geldig.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
SIL	0.025162754915534605	0.11043926685206036	0.005204422334645596	0.21567411136947512	geldig.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
SCP	0.8467909104401742	0.5169640307388356	0.9239844354766578	0.10994362600101347	geldig.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
kNN	0.8539184952978056	0.5811885084612357	0.9177489177489178	0.24462809917355371	geldig.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
DR	1.1540353644171728	1.64578755207583	1.03894442688004	2.25263067727162	geldig.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
SIL	0.03807409288048979	0.24276822353335484	-0.009833044080819048	0.4953694911475287	geldig.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
SCP	0.8611128480377822	0.5717788984354666	0.9288293043276858	0.21472849254324738	geldig.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
kNN	0.8750783699059561	0.6446674537583629	0.929004329004329	0.3603305785123967	geldig.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
DR	1.0474808001235574	1.154137180381086	1.0225186685739232	1.2857556921882487	geldig.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
SIL	0.014139863243597032	0.09240352189099202	-0.004177163248346475	0.1889842070303305	geldig.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
SCP	0.7976356573625075	0.4781294450439092	0.8724137070540944	0.083845183033724	geldig.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
kNN	0.8338557993730408	0.5279338842975206	0.9054545454545454	0.15041322314049588	geldig.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
DR	1.0306664406768902	1.201941367824214	0.9692846748784274	1.4345980607700006	geldig.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	-0.0029782286164166155	0.12148601097085329	-0.04758390985578503	0.2905559317974916	geldig.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SCP	0.7994115507253189	0.5612093507748217	0.8847788131353237	0.23763988841431966	geldig.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	mds
