measure	globqual	meanclassqual	classqual_heet_3	classqual_heet_1	model	classqual_heet_5	classqual_heet_7	classqual_heet_2	classqual_heet_6	technique
DR	1.162762245638508	1.1746853862742481	1.2075643498455313	1.141806422702965	heet.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	NA	NA	mds
SIL	0.10329377397970098	0.11160437742048782	0.1345214959996273	0.08868725884134834	heet.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	NA	NA	mds
SCP	0.7462898787249523	0.7212661732483784	0.6522614096614623	0.7902709368352945	heet.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	NA	NA	mds
kNN	0.7966033966033966	0.7656385883304682	0.6802507836990596	0.8510263929618768	heet.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	NA	NA	mds
DR	1.1846413494358268	1.2416459058281775	1.3988402886070834	1.0844515230492713	heet.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	NA	NA	mds
SIL	0.09281065046995861	0.1236711108575266	0.2087711682899111	0.03857105342514212	heet.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	NA	NA	mds
SCP	0.6798025491315739	0.6466370309237208	0.5551806019263078	0.7380934599211338	heet.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	NA	NA	mds
kNN	0.7154845154845155	0.6730710890888867	0.5561128526645768	0.7900293255131965	heet.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	NA	NA	mds
DR	1.1963471284138985	1.2893501809947685	1.5458131441723189	1.0328872178172182	heet.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	NA	NA	mds
SIL	0.08945992467455152	0.13991514130571103	0.2790492235310296	7.810590803924173e-4	heet.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	NA	NA	mds
SCP	0.6997092091718142	0.6936330974529452	0.6768777590766697	0.7103884358292206	heet.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	NA	NA	mds
kNN	0.727072927072927	0.6960916169481242	0.6106583072100313	0.781524926686217	heet.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	NA	NA	mds
DR	1.1032924966519813	1.158944528820163	1.3124092235869667	1.0054798340533593	heet.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	NA	NA	mds
SIL	0.04440000036143719	0.07792470382895814	0.17037161339090984	-0.014522205732993558	heet.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	NA	NA	mds
SCP	0.6271845462577679	0.6106284310502454	0.5649736891143503	0.6562831729861407	heet.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	NA	NA	mds
kNN	0.6853146853146853	0.6495955101628071	0.5510971786833856	0.7480938416422287	heet.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	NA	NA	mds
DR	1.169967251260725	1.2043326661928813	1.2990979013088269	1.1095674310769357	heet.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	NA	NA	mds
SIL	0.09795730981654796	0.11617438603998906	0.16640935380765998	0.06593941827231814	heet.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	NA	NA	mds
SCP	0.7246110955343202	0.6982069411954313	0.6253954852912224	0.7710183970996403	heet.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	NA	NA	mds
kNN	0.76003996003996	0.7229547982606936	0.6206896551724138	0.8252199413489736	heet.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	NA	NA	mds
DR	1.1979129284389392	1.2623094670827688	1.4398878009187834	1.0847311332467542	heet.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	NA	NA	NA	NA	mds
