measure	globqual	meanclassqual	classqual_herinneren_1	classqual_herinneren_2	model	technique
DR	1.886328703008876	1.9742634380049853	2.2171308013275723	1.7313960746823982	herinneren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.4157044436067856	0.4316293530884737	0.47561243641885054	0.38764626975809696	herinneren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP	0.9488971127879772	0.9412886304981976	0.920274727031187	0.962302533965208	herinneren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN	0.9355799373040752	0.9255994774982117	0.898034398034398	0.9531645569620253	herinneren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.6331387430533988	1.6357248397942932	1.6428673926977158	1.6285822868908706	herinneren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.3384208400031856	0.32411588905816746	0.28460697692430775	0.3636248011920271	herinneren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP	0.9278774761536838	0.9048685265920917	0.841319999231504	0.9684170539526793	herinneren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN	0.9328369905956113	0.9202547196218083	0.8855036855036855	0.9550057537399309	herinneren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	2.4553720918521367	2.7646048952472353	3.6186764474813167	1.910533343013154	herinneren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	0.5130503913288954	0.5506614829686571	0.6545397360689511	0.44678322986836305	herinneren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP	0.957314280310459	0.9470908188063771	0.9188545917951035	0.9753270458176507	herinneren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN	0.9565830721003135	0.9453301402668491	0.9142506142506143	0.976409666283084	herinneren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.9216441101406339	2.039385052136562	2.3645743205062684	1.7141957837668556	herinneren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	0.4253645620689236	0.4444685302974807	0.49723187111920963	0.39170518947575167	herinneren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP	0.9563068174558981	0.9443595890547707	0.9113624820421333	0.9773566960674082	herinneren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN	0.9581504702194358	0.9488974590240413	0.9233415233415233	0.9744533947065592	herinneren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	1.6770775214608606	1.711600642349254	1.8069502143267213	1.6162510703717867	herinneren.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	0.36176034405990215	0.37070520536713203	0.3954100604061479	0.34600035032811616	herinneren.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SCP	0.9248010437951718	0.9068803705055143	0.8573851776102696	0.956375563400759	herinneren.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN	0.9277429467084639	0.9154697850900382	0.8815724815724816	0.9493670886075949	herinneren.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
DR	1.491562123260781	1.4728798802334755	1.4212813042532988	1.5244784562136522	herinneren.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
SIL	0.28878762535828034	0.2720042648495274	0.22565022153963835	0.31835830815941646	herinneren.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
SCP	0.8801834557393351	0.8526432287654726	0.7765797447424236	0.9287067127885216	herinneren.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
kNN	0.8859717868338558	0.8610938326128199	0.7923832923832924	0.9298043728423475	herinneren.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
DR	2.031669385652228	2.1865339413249587	2.614255095087739	1.7588127875621782	herinneren.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
SIL	0.45611539611816626	0.4859597707261534	0.5683870910720227	0.40353245038028407	herinneren.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
SCP	0.9739541632667792	0.9686179008839249	0.9538796523979459	0.9833561493699037	herinneren.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
kNN	0.9661442006269593	0.9577706590364818	0.9346437346437346	0.980897583429229	herinneren.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
DR	1.698944953871884	1.7992731635453936	2.0763701235960395	1.5221762034947475	herinneren.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
SIL	0.3513320211805757	0.3806747894987156	0.4617167210440543	0.2996328579533769	herinneren.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
SCP	0.9371702086554535	0.92504146035899	0.8915430126830434	0.9585399080349368	herinneren.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
kNN	0.9311128526645768	0.9210135912667559	0.8931203931203932	0.9489067894131186	herinneren.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
DR	1.4205626972210377	1.5896885961638334	2.0532925309129086	1.1260846614147582	herinneren.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
SIL	0.20805124334471198	0.27924234241753354	0.47438970811126796	0.08409497672379912	herinneren.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
SCP	0.9244303206628011	0.9021184920398713	0.8409578324028993	0.9632791516768433	herinneren.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
kNN	0.9174404994147484	0.8982646454344567	0.8457002457002457	0.9508290451686678	herinneren.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
DR	1.2639564292503316	1.356700370859366	1.6109278813876604	1.1024728603310716	herinneren.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
SIL	0.15304408200560377	0.19908099380614167	0.32527629321232204	0.07288569439996127	herinneren.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
SCP	0.8660890343639976	0.8350898728974876	0.750115700877525	0.9200640449174503	herinneren.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
kNN	0.8551697229808818	0.8258433390508862	0.7454545454545455	0.906232132647227	herinneren.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
DR	1.6177775775235907	1.977501387787193	2.963567832392126	0.9914349431822597	herinneren.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
SIL	0.18644684377056167	0.30677151765180605	0.6366026825262759	-0.023059647222663855	herinneren.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
SCP	0.9664700897120072	0.9578008987422958	0.9340371164370869	0.9815646810475047	herinneren.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
kNN	0.9605930550136559	0.9503075116282664	0.9221130221130222	0.9785020011435106	herinneren.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
DR	1.4081396802987718	1.4685689977395344	1.6342164208418604	1.3029215746372085	herinneren.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
SIL	0.23324548359243782	0.25942819418067325	0.33119962438136574	0.1876567639799808	herinneren.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
SCP	0.8450716564555354	0.8096985476913714	0.7127346142554866	0.9066624811272562	herinneren.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
kNN	0.8582130316035895	0.8331958030071238	0.7646191646191646	0.901772441395083	herinneren.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
DR	2.007076413357728	2.1735691517067712	2.628916761408371	1.7182215420051714	herinneren.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.4375018458484269	0.46639982357648835	0.5454340518207046	0.3873655953322721	herinneren.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP	0.9515628470622832	0.9416245967637482	0.9144440808870317	0.9688051126404646	herinneren.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN	0.9504205046055266	0.941653633105246	0.9176767676767676	0.9656304985337243	herinneren.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.7408759995252217	1.79065579569362	1.9268005394312877	1.6545110519559523	herinneren.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.37624932963580854	0.377109543533513	0.37946217672362037	0.37475691034340564	herinneren.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP	0.92271093917322	0.8949921809904622	0.8191830471653295	0.970801314815595	herinneren.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN	0.9367240688826591	0.9227671880091235	0.8845959595959596	0.9609384164222874	herinneren.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	2.6996936196500396	3.1543665565460888	4.397869649020825	1.9108634640713524	herinneren.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	0.5285144989693749	0.575770479165242	0.7050127382551437	0.4465282200753403	herinneren.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP	0.9693104478581573	0.9610875933811027	0.9385985817390375	0.9835766050231679	herinneren.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN	0.9690028033640369	0.9610752688172044	0.9393939393939394	0.9827565982404692	herinneren.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.8811045589976527	2.0059930026001602	2.347555372452801	1.6644306327475196	herinneren.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	0.41434595161260795	0.43250122162898763	0.48215479143282125	0.382847651825154	herinneren.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP	0.9701743736159641	0.9608284468945116	0.9352679003189732	0.9863889934700502	herinneren.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN	0.9612334801762115	0.9526816552623004	0.9292929292929293	0.9760703812316716	herinneren.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	1.7525514281544028	1.8174803144180869	1.9950569069705717	1.6399037218656018	herinneren.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	0.3828308653313775	0.3989104076964948	0.44288698741795995	0.35493382797502954	herinneren.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SCP	0.9527148184549098	0.9435779052355323	0.9185889979969939	0.9685668124740707	herinneren.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN	0.9381657989587505	0.928420495275334	0.9017676767676768	0.9550733137829912	herinneren.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	mds
DR	1.54512831889855	1.550577920573767	1.565482252866228	1.535673588281306	herinneren.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	mds
SIL	0.31400670108329526	0.30938168812194594	0.29673255628789413	0.32203081995599775	herinneren.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	mds
SCP	0.8793596428373078	0.8481385270869362	0.7627506562997749	0.9335263978740973	herinneren.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	mds
kNN	0.8913896676011214	0.8699633431085044	0.8113636363636364	0.9285630498533725	herinneren.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	mds
