measure	globqual	meanclassqual	classqual_hoekig_1	classqual_hoekig_2	model	classqual_hoekig_3	technique
DR	1.194874879254636	1.2139673284301837	1.0688647146960213	1.3590699421643462	hoekig.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	NA	mds
SIL	0.10929692949233394	0.12025224840532803	0.03699182466657294	0.2035126721440831	hoekig.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	NA	mds
SCP	0.7098039401580502	0.70726189803882	0.7265814181449692	0.6879423779326708	hoekig.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	NA	mds
kNN	0.6880382775119617	0.6862579281183931	0.6997885835095137	0.6727272727272727	hoekig.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	NA	mds
DR	1.2619297093227548	1.274818299368335	1.1768650150219255	1.3727715837147445	hoekig.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	NA	mds
SIL	0.15277319245611012	0.15852935178717328	0.11478254087109326	0.2022761627032533	hoekig.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	NA	mds
SCP	0.6972332556231571	0.696270656598859	0.7035864091835252	0.6889549040141927	hoekig.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	NA	mds
kNN	0.6775119617224881	0.6727272727272727	0.7090909090909091	0.6363636363636364	hoekig.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	NA	mds
DR	1.2965247940472242	1.3098243401743712	1.2087477896080547	1.4109008907406875	hoekig.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	NA	mds
SIL	0.18028881035267036	0.18723608856705537	0.13443677413772942	0.2400354029963813	hoekig.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	NA	mds
SCP	0.7555706000876631	0.758104552970605	0.7388465110602466	0.7773625948809634	hoekig.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	NA	mds
kNN	0.7672248803827751	0.7642449868665513	0.786892177589852	0.7415977961432507	hoekig.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	NA	mds
DR	1.3932636425133889	1.4003131940292763	1.346736602508531	1.453889785550022	hoekig.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	NA	mds
SIL	0.23919888993513075	0.24096897396206712	0.22751633535735075	0.2544216125667835	hoekig.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	NA	mds
SCP	0.797117926749937	0.7957496835136058	0.8061483321097233	0.7853510349174881	hoekig.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	NA	mds
kNN	0.8330143540669857	0.8298161317188801	0.854122621564482	0.8055096418732782	hoekig.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	NA	mds
DR	1.2378134765690372	1.2571627254177915	1.1101084341672594	1.4042170166683237	hoekig.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	NA	mds
SIL	0.13244341324371606	0.14285918882236653	0.06369929442462273	0.22201908322011035	hoekig.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	NA	mds
SCP	0.6657440149961734	0.6553239882097646	0.7345161917864714	0.5761317846330578	hoekig.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	NA	mds
kNN	0.6801435406698565	0.6753731821385098	0.7116279069767442	0.6391184573002755	hoekig.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	NA	mds
DR	1.2550785472946195	1.2683850719111514	1.1672554848255094	1.3695146589967933	hoekig.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	NA	mds
SIL	0.14995008654410041	0.15629511886546005	0.10807287322312699	0.2045173645077931	hoekig.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	NA	mds
SCP	0.6695963573290612	0.6675275794481355	0.6832502913431712	0.6518048675530997	hoekig.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	NA	mds
kNN	0.6770334928229664	0.671984111730412	0.7103594080338266	0.6336088154269972	hoekig.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	NA	mds
DR	1.2669372639940124	1.2807311043077858	1.175897917923107	1.3855642906924646	hoekig.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	NA	mds
SIL	0.16290839653638137	0.1706639708014865	0.11172160638668772	0.22960633521628523	hoekig.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	NA	mds
SCP	0.7018878539323214	0.6924200618678479	0.764375281557847	0.6204648421778488	hoekig.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	NA	mds
