met	homogeneity	completeness	vmeasure	model	technique	homogeneity_rank	completeness_rank	vmeasure_rank
mcquitty	0.0783515546836379	0.08973830610384524	0.08365924946302344	harden.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSnav	mds	7	4	1
average	0.10194715574434414	0.05996302949185219	0.07551174495404052	harden.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	tsne.30	1	65	1
average	0.053567215642951804	0.12660866534464926	0.07528281412149564	harden.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSnav	mds	103	17	2
average	0.053567215642951804	0.12660866534464926	0.07528281412149564	harden.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSnav	mds	104	18	3
single	0.04959101573398338	0.15366872030539225	0.07498374321424418	harden.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	tsne.30	19	89	1
single	0.043226747612898984	0.25661457295802165	0.07398989143942587	harden.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall	tsne.30	56	13	2
average	0.04729247276762569	0.16175256118950052	0.07318689614714369	harden.BOWnobound3all.PPMIno.LENGTHFOC.SOCPOSnav	mds	196	5	4
average	0.09270904013539004	0.058223874830933456	0.07152687072588935	harden.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	tsne.20	2	72	5
single	0.03958900793484077	0.36941496314879685	0.07151408270486447	harden.BOWnobound3all.PPMIselection.LENGTH5000.SOCPOSnav	mds	102	1	3
single	0.040797554613495664	0.27298827387765795	0.070986341645328	harden.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav	mds	86	9	4
single	0.051711971276647416	0.11254775129589581	0.07086418984659203	harden.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	tsne.50	14	152	5
single	0.06621317245104215	0.0760297798230361	0.07078273956431176	harden.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	tsne.50	1	303	6
median	0.05134454618022422	0.10913875894513793	0.06983505286526417	harden.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSnav	mds	16	2	1
ward.D	0.09354559345780056	0.05567289661426665	0.06980306731131099	harden.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSnav	mds	1	1	1
single	0.05129797995052434	0.10850570045977993	0.06966201569841295	harden.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	tsne.20	15	162	7
single	0.03841978454543739	0.2994182534813802	0.06810118158934271	harden.BOWnobound3all.PPMIno.LENGTHFOC.SOCPOSnav	mds	119	6	8
ward.D	0.09309171301172024	0.05360683235100651	0.06803546470550416	harden.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.50	2	2	2
single	0.04838606950705436	0.11360344651248014	0.06786641992968148	harden.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	tsne.30	20	149	9
mcquitty	0.08012765577671185	0.05777993036713317	0.06714308473836861	harden.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	mds	6	14	2
single	0.04368964161431033	0.14441465228713715	0.06708432084581682	harden.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSall	tsne.30	47	94	10
single	0.03694228106378207	0.344717690836585	0.06673300193957704	harden.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	mds	137	2	11
single	0.04129357215411161	0.172456013785452	0.06663240836100183	harden.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	tsne.30	79	62	12
mcquitty	0.0454305961161395	0.12238551556433999	0.06626356518920327	harden.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSnav	mds	225	2	3
single	0.05820754345859564	0.07683831233448533	0.06623778831610545	harden.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSnav	tsne.10	5	299	13
single	0.03831288901314764	0.2322565009517197	0.06577549326404358	harden.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	mds	121	22	14
average	0.05303545477873694	0.08615900074760448	0.06565608911148048	harden.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	mds	115	34	6
average	0.03998685515810421	0.17684779514405702	0.06522561924121599	harden.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	mds	369	3	7
mcquitty	0.08934055963335874	0.05085864428278489	0.06481833869949273	harden.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	tsne.50	1	19	4
average	0.04187439649642452	0.14326214988255248	0.06480639489549658	harden.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSnav	mds	316	12	8
average	0.041215148980394904	0.14937954213262347	0.06460515817797327	harden.BOWnobound3all.PPMIselection.LENGTHFOC.SOCPOSall	mds	338	7	9
single	0.035761134750452395	0.3336961183200375	0.06459936435823045	harden.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	mds	161	3	15
single	0.0654735521192948	0.06363622370431257	0.064541814634885	harden.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	tsne.20	2	371	16
single	0.03601190667244907	0.28065285445958266	0.06383308560146941	harden.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall	mds	156	8	17
mcquitty	0.0669383783577738	0.060805326517783795	0.06372462669030012	harden.LEMMAPATHselection2.PPMIno.LENGTH5000.SOCPOSnav	mds	21	13	5
mcquitty	0.05380441652904714	0.07796805860243507	0.06367074606166102	harden.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	mds	83	5	6
mcquitty	0.08899297941155879	0.04949234384362962	0.063609211910344493	harden.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	tsne.10	2	24	7
ward.D2	0.08759840254178707	0.0496974741561759	0.06341660727393639	harden.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSnav	tsne.30	1	3	1
mcquitty	0.06588623099835543	0.06098079647546786	0.06333867708653257	harden.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	mds	24	12	8
complete	0.08813449390177497	0.049167517501780944	0.06312149730552162	harden.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	tsne.10	1	15	1
single	0.0346951529273109	0.3237491745481391	0.06267376136288655	harden.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	mds	176	4	18
single	0.0346951529273109	0.3237491745481391	0.06267376136288655	harden.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSnav	tsne.20	177	5	19
mcquitty	0.08479935271367522	0.04956780671999952	0.06256466152902977	harden.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	tsne.10	3	23	9
mcquitty	0.08147574084857123	0.050643434570920805	0.06246196038812337	harden.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	tsne.50	5	20	10
single	0.045705222179347124	0.09781165777632825	0.06229934139842012	harden.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	tsne.50	32	209	20
single	0.03500912482946992	0.2728378395759733	0.06205559962149327	harden.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	mds	169	10	21
single	0.03500912482946991	0.2728378395759733	0.062055599621493256	harden.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSnav	mds	170	11	22
single	0.04353206935160095	0.10657678158518491	0.0618152469795468	harden.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	tsne.50	49	167	23
ward.D2	0.0853408662575572	0.048371838104838215	0.06174573442399342	harden.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.50	2	5	2
ward.D2	0.06272943177668754	0.06075528527322272	0.06172657821419988	harden.BOWnobound3all.PPMIselection.LENGTH5000.SOCPOSnav	mds	51	1	3
median	0.07155514788109052	0.054043936204786244	0.06157882241506803	harden.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	tsne.30	2	7	2
single	0.039789994152874576	0.1336416392723089	0.06132214683337685	harden.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	tsne.10	98	126	24
single	0.04187582666823394	0.11407390880453629	0.06126254998747041	harden.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.20	71	148	25
single	0.0450958036676499	0.09538683140104914	0.0612395378152949	harden.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	tsne.30	35	214	26
mcquitty	0.08413655249280226	0.04806994181874591	0.0611836688389609	harden.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.10	4	30	11
ward.D	0.08231494777409978	0.048659230907204115	0.061162926787280136	harden.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	tsne.20	3	4	3
single	0.04292613329740685	0.10614595279696634	0.06113063066492926	harden.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	tsne.50	61	168	27
mcquitty	0.05954719139309289	0.0626833118450984	0.061075019225262164	harden.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	mds	43	11	12
