_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
dof.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSall	-0.8879433138521983	-1.507109564699836	LEMMAPATH2	NA	NA	LEMMAPATH	342	no	NA	NA	5000	all	311	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSnav	-0.8546627976511968	-1.4589446534443915	LEMMAPATH2	NA	NA	LEMMAPATH	342	no	NA	NA	5000	nav	311	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSall	-0.9118279257296596	-0.738058506638596	LEMMAPATH2	NA	NA	LEMMAPATH	342	no	NA	NA	FOC	all	311	2	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
dof.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSnav	-0.9599014431241486	-0.7302250015467462	LEMMAPATH2	NA	NA	LEMMAPATH	342	no	NA	NA	FOC	nav	311	2	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
dof.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSall	-0.8054420481014158	-1.040390961438105	LEMMAPATH2	NA	NA	LEMMAPATH	243	selection	NA	NA	5000	all	303	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSnav	-0.8081888669800055	-1.067507408777914	LEMMAPATH2	NA	NA	LEMMAPATH	243	selection	NA	NA	5000	nav	303	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSall	-0.7761655447137313	-0.5815284826796681	LEMMAPATH2	NA	NA	LEMMAPATH	243	selection	NA	NA	FOC	all	303	2	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
dof.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSnav	-0.8185589789693275	-0.5960770114603509	LEMMAPATH2	NA	NA	LEMMAPATH	243	selection	NA	NA	FOC	nav	303	2	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
dof.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSall	-0.995901062061088	-0.36791645313447335	LEMMAPATH2	NA	NA	LEMMAPATH	243	weight	NA	NA	5000	all	303	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSnav	-1.054964530642163	-0.3681655944377358	LEMMAPATH2	NA	NA	LEMMAPATH	243	weight	NA	NA	5000	nav	303	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSall	-1.1139028240539344	-0.11101951619843546	LEMMAPATH2	NA	NA	LEMMAPATH	243	weight	NA	NA	FOC	all	303	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSnav	-1.1093228807934858	-0.09414508343631244	LEMMAPATH2	NA	NA	LEMMAPATH	243	weight	NA	NA	FOC	nav	303	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.LEMMAPATH3.PPMIno.LENGTH5000.SOCPOSall	-0.02940252275772023	-1.6102273635268964	LEMMAPATH3	NA	NA	LEMMAPATH	639	no	NA	NA	5000	all	303	2	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
dof.LEMMAPATH3.PPMIno.LENGTH5000.SOCPOSnav	-0.02311365862061425	-1.4174891845037136	LEMMAPATH3	NA	NA	LEMMAPATH	639	no	NA	NA	5000	nav	303	2	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
dof.LEMMAPATH3.PPMIno.LENGTHFOC.SOCPOSall	-0.12742928837333695	-0.6450902648039839	LEMMAPATH3	NA	NA	LEMMAPATH	639	no	NA	NA	FOC	all	303	2	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
dof.LEMMAPATH3.PPMIno.LENGTHFOC.SOCPOSnav	-0.16420171945626777	-0.6246916247331386	LEMMAPATH3	NA	NA	LEMMAPATH	639	no	NA	NA	FOC	nav	303	2	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
dof.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall	-0.20519261702088404	-0.9817599246475714	LEMMAPATH3	NA	NA	LEMMAPATH	422	selection	NA	NA	5000	all	302	2	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
dof.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSnav	-0.1917094915209624	-0.9486588411306868	LEMMAPATH3	NA	NA	LEMMAPATH	422	selection	NA	NA	5000	nav	302	2	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
dof.LEMMAPATH3.PPMIselection.LENGTHFOC.SOCPOSall	-0.24530023285184224	-0.42353360662089984	LEMMAPATH3	NA	NA	LEMMAPATH	422	selection	NA	NA	FOC	all	302	2	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
