type	models	stress	date	part_of_speech
blik	216	0.1419	2021-12-16	noun
diskwalificeren	204	0.1895	2021-12-16	verb
dof	204	0.1783	2021-12-16	adj
geestig	204	0.1976	2021-12-16	adj
gekleurd	204	0.1611	2021-12-16	adj
geldig	204	0.2069	2021-12-16	adj
gemeen	204	0.203	2021-12-16	adj
goedkoop	204	0.2158	2021-12-16	adj
grijs	204	0.1858	2021-12-16	adj
hachelijk	204	0.1471	2021-12-16	adj
haken	204	0.1626	2021-12-16	verb
harden	204	0.1708	2021-12-16	verb
haten	204	0.1727	2021-12-16	verb
heet	204	0.1589	2021-12-16	adj
heffen	204	0.1869	2021-12-16	verb
heilzaam	204	0.1666	2021-12-16	adj
helpen	204	0.184	2021-12-16	verb
hemels	204	0.1507	2021-12-16	adj
herhalen	204	0.2149	2021-12-16	verb
herinneren	204	0.1484	2021-12-16	verb
herroepen	204	0.2136	2021-12-16	verb
herstellen	204	0.2012	2021-12-16	verb
herstructureren	204	0.1948	2021-12-16	verb
hoekig	204	0.1974	2021-12-16	adj
hoop	216	0.1593	2021-12-16	noun
hoopvol	204	0.2017	2021-12-16	adj
horde	216	0.1556	2021-12-16	noun
huldigen	204	0.2298	2021-12-16	verb
schaal	216	0.1472	2021-12-16	noun
spot	216	0.1469	2021-12-16	noun
staal	216	0.1541	2021-12-16	noun
stof	216	0.1464	2021-12-16	noun
