type	total_tokens	min_tokens	models	stress	date	part_of_speech	corpus
heilzaam	236	194	200	0.1932	2021-02-24	adj	QLVLNews
hoekig	264	170	200	0.2133	2021-02-24	adj	QLVLNews
gekleurd	276	206	200	0.1867	2021-02-24	adj	QLVLNews
dof	311	228	200	0.2057	2021-02-24	adj	QLVLNews
hachelijk	239	217	200	0.1902	2021-02-24	adj	QLVLNews
geestig	278	169	200	0.2297	2021-02-24	adj	QLVLNews
hoopvol	238	159	200	0.2515	2021-02-24	adj	QLVLNews
hemels	209	158	200	0.2145	2021-02-24	adj	QLVLNews
geldig	235	175	200	0.2344	2021-02-24	adj	QLVLNews
gemeen	297	222	200	0.2245	2021-02-24	adj	QLVLNews
goedkoop	303	200	200	0.2393	2021-02-24	adj	QLVLNews
grijs	304	196	200	0.2014	2021-02-24	adj	QLVLNews
heet	332	280	200	0.189	2021-02-24	adj	QLVLNews
horde	278	248	212	0.2016	2021-02-25	noun	QLVLNews
hoop	312	263	212	0.1781	2021-02-25	noun	QLVLNews
spot	219	187	212	0.1839	2021-02-25	noun	QLVLNews
staal	311	226	212	0.1899	2021-02-25	noun	QLVLNews
stof	313	292	212	0.1828	2021-02-25	noun	QLVLNews
schaal	318	280	212	0.1747	2021-02-25	noun	QLVLNews
spoor	358	301	212	0.1744	2021-02-25	noun	QLVLNews
blik	276	233	212	0.1692	2021-02-25	noun	QLVLNews
heffen	218	189	200	0.2138	2021-02-25	verb	QLVLNews
huldigen	230	202	200	0.2476	2021-02-25	verb	QLVLNews
haten	229	172	200	0.2103	2021-02-25	verb	QLVLNews
herroepen	236	205	200	0.2342	2021-02-25	verb	QLVLNews
helpen	233	196	200	0.2072	2021-02-25	verb	QLVLNews
herinneren	240	169	200	0.1818	2021-02-25	verb	QLVLNews
herhalen	312	267	200	0.2462	2021-02-25	verb	QLVLNews
diskwalificeren	238	198	200	0.2145	2021-02-25	verb	QLVLNews
haken	251	222	200	0.1808	2021-02-25	verb	QLVLNews
herstellen	239	210	200	0.2198	2021-02-25	verb	QLVLNews
herstructureren	240	146	200	0.2385	2021-02-25	verb	QLVLNews
harden	279	244	200	0.192	2021-02-25	verb	QLVLNews
