_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
geestig.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSall	-0.7301551153194861	-1.276156776290604	LEMMAPATH2	NA	NA	LEMMAPATH	480	no	NA	NA	5000	all	274	1	geestig.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
geestig.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSnav	-0.7334900167201083	-1.1424143900726214	LEMMAPATH2	NA	NA	LEMMAPATH	480	no	NA	NA	5000	nav	274	1	geestig.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
geestig.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSall	-0.6430401129983359	-0.6467272399520652	LEMMAPATH2	NA	NA	LEMMAPATH	480	no	NA	NA	FOC	all	274	1	geestig.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
geestig.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSnav	-0.6781456372305308	-0.6275023005390076	LEMMAPATH2	NA	NA	LEMMAPATH	480	no	NA	NA	FOC	nav	274	1	geestig.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
geestig.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSall	-0.7360856783151123	-0.905261181949748	LEMMAPATH2	NA	NA	LEMMAPATH	351	selection	NA	NA	5000	all	271	1	geestig.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
geestig.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSnav	-0.7475186095872862	-0.839212575741147	LEMMAPATH2	NA	NA	LEMMAPATH	351	selection	NA	NA	5000	nav	271	1	geestig.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
geestig.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSall	-0.6546776883969706	-0.5337769693315192	LEMMAPATH2	NA	NA	LEMMAPATH	351	selection	NA	NA	FOC	all	271	1	geestig.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
geestig.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSnav	-0.6830461396716365	-0.5239625166189178	LEMMAPATH2	NA	NA	LEMMAPATH	351	selection	NA	NA	FOC	nav	271	1	geestig.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
geestig.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSall	-0.9037797987481824	-0.32272917191662026	LEMMAPATH2	NA	NA	LEMMAPATH	351	weight	NA	NA	5000	all	271	1	geestig.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
geestig.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSnav	-0.9092433171622144	-0.2928319075745559	LEMMAPATH2	NA	NA	LEMMAPATH	351	weight	NA	NA	5000	nav	271	2	geestig.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
