_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
gekleurd.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSall	-1.7799521518916874	-1.0157466716986103	LEMMAPATH2	NA	NA	LEMMAPATH	447	no	NA	NA	5000	all	275	1	gekleurd.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav
gekleurd.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSnav	-1.6430999019200652	-0.9456955198830718	LEMMAPATH2	NA	NA	LEMMAPATH	447	no	NA	NA	5000	nav	275	1	gekleurd.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav
gekleurd.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSall	-1.3712329406470094	-0.4043209871876462	LEMMAPATH2	NA	NA	LEMMAPATH	447	no	NA	NA	FOC	all	275	1	gekleurd.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav
gekleurd.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSnav	-1.351048845577543	-0.3645733552509842	LEMMAPATH2	NA	NA	LEMMAPATH	447	no	NA	NA	FOC	nav	275	1	gekleurd.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav
gekleurd.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSall	-1.3061625260114973	-0.5740628272422107	LEMMAPATH2	NA	NA	LEMMAPATH	330	selection	NA	NA	5000	all	265	1	gekleurd.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav
gekleurd.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSnav	-1.2582755967048609	-0.5550273719707279	LEMMAPATH2	NA	NA	LEMMAPATH	330	selection	NA	NA	5000	nav	265	1	gekleurd.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav
gekleurd.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSall	-1.2169786551961423	-0.2756844556046752	LEMMAPATH2	NA	NA	LEMMAPATH	330	selection	NA	NA	FOC	all	265	1	gekleurd.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav
gekleurd.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSnav	-1.189257187288976	-0.252945520448696	LEMMAPATH2	NA	NA	LEMMAPATH	330	selection	NA	NA	FOC	nav	265	1	gekleurd.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav
gekleurd.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSall	-1.0137515730241518	0.0161684937777208	LEMMAPATH2	NA	NA	LEMMAPATH	330	weight	NA	NA	5000	all	265	1	gekleurd.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav
gekleurd.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSnav	-1.0001978032647187	-0.01268895796074189	LEMMAPATH2	NA	NA	LEMMAPATH	330	weight	NA	NA	5000	nav	265	1	gekleurd.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav
gekleurd.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSall	-1.161682326568832	0.16287885582022707	LEMMAPATH2	NA	NA	LEMMAPATH	330	weight	NA	NA	FOC	all	265	1	gekleurd.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav
gekleurd.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSnav	-1.1287784176352775	0.17480297484841872	LEMMAPATH2	NA	NA	LEMMAPATH	330	weight	NA	NA	FOC	nav	265	1	gekleurd.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav
gekleurd.LEMMAPATH3.PPMIno.LENGTH5000.SOCPOSall	-1.1636893887986672	-1.5345421847668337	LEMMAPATH3	NA	NA	LEMMAPATH	761	no	NA	NA	5000	all	272	1	gekleurd.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav
gekleurd.LEMMAPATH3.PPMIno.LENGTH5000.SOCPOSnav	-1.0797315606944446	-1.3007198110216946	LEMMAPATH3	NA	NA	LEMMAPATH	761	no	NA	NA	5000	nav	272	1	gekleurd.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav
gekleurd.LEMMAPATH3.PPMIno.LENGTHFOC.SOCPOSall	-0.7906042613831229	-0.6979485636215873	LEMMAPATH3	NA	NA	LEMMAPATH	761	no	NA	NA	FOC	all	272	1	gekleurd.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav
gekleurd.LEMMAPATH3.PPMIno.LENGTHFOC.SOCPOSnav	-0.7771006764724386	-0.6517265854332273	LEMMAPATH3	NA	NA	LEMMAPATH	761	no	NA	NA	FOC	nav	272	1	gekleurd.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav
