_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
geldig.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSall	-0.8204198275321578	-1.316218985900868	LEMMAPATH2	NA	NA	LEMMAPATH	287	no	NA	NA	5000	all	234	1	geldig.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
geldig.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSnav	-0.9484901192409382	-1.4728505481833956	LEMMAPATH2	NA	NA	LEMMAPATH	287	no	NA	NA	5000	nav	234	1	geldig.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
geldig.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSall	-0.7143019260412998	-0.8142112277215501	LEMMAPATH2	NA	NA	LEMMAPATH	287	no	NA	NA	FOC	all	234	1	geldig.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
geldig.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSnav	-0.893457049146071	-0.865424443937285	LEMMAPATH2	NA	NA	LEMMAPATH	287	no	NA	NA	FOC	nav	234	1	geldig.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
geldig.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSall	-0.8051262354292258	-1.0866608800726574	LEMMAPATH2	NA	NA	LEMMAPATH	225	selection	NA	NA	5000	all	231	1	geldig.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
geldig.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSnav	-0.9283283815187832	-1.2142455972211137	LEMMAPATH2	NA	NA	LEMMAPATH	225	selection	NA	NA	5000	nav	231	1	geldig.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
geldig.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSall	-0.662278716043769	-0.6873047526096916	LEMMAPATH2	NA	NA	LEMMAPATH	225	selection	NA	NA	FOC	all	231	1	geldig.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
geldig.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSnav	-0.842709640971755	-0.7158972899990357	LEMMAPATH2	NA	NA	LEMMAPATH	225	selection	NA	NA	FOC	nav	231	1	geldig.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
geldig.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSall	-1.1683860206662169	0.1846266576709119	LEMMAPATH2	NA	NA	LEMMAPATH	225	weight	NA	NA	5000	all	231	2	geldig.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav
geldig.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSnav	-1.2167193462355177	0.21347423124484857	LEMMAPATH2	NA	NA	LEMMAPATH	225	weight	NA	NA	5000	nav	231	2	geldig.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav
