cw	pmi_4	raw_4	pmi_10	raw_10	freq
!!!!/punct			4.8922896	1	69
!/name			0.31908852	3	19257
!/punct	1.610812	32.0	1.2277938	54	142029
"""/punct"	0.22223486	275.0	0.1736709	652	4844510
&/name			-0.18138038	5	52896
&warm/noun			9.063595	1	1
'/punct	0.75375235	264.0	0.57355005	548	2720890
's/adv	-1.0550871	1.0	-0.8691663	3	62265
's/det	1.3603786	2.0	1.1487583	4	11206
(/name			0.91060525	1	3563
(/punct	-0.80815876	56.0	-0.79517233	139	2759129
(levens)verzekeringsstatuut/noun			9.063595	2	2
)/name	2.5016854	1.0	1.5887663	1	1772
)/punct	-0.9000828	50.0	-0.7097113	150	2758869
)/tag			0.8016427	1	3950
***/num	2.4009502	1.0	1.4908608	1	2003
*/tag	-0.96786356	2.0	-1.4235915	3	117193
*Ja/noun			9.7567425	1	1
+++/num			4.0944767	1	145
,/name			0.7422993	6	24958
,/punct	0.3244628	1156.0	0.20966072	2565	18092245
--/punct	0.5434842	6.0	0.17458333	10	75440
-/punct	0.029081432	50.0	-0.07927361	111	1059446
-PSV/name			5.543134	1	36
-SBS/noun			7.964983	1	3
-toch/noun			5.8447194	1	25
-zeker/adj			5.7864504	1	27
.../punct	0.39494574	7.0	0.37524056	17	103573
...?/num	3.515317	1.0	2.6065116	1	657
./punct	0.025166592	1314.0	0.038211167	3317	28225482
//punct	1.2207385	7.0	1.2747861	18	45910
0,8/num			1.3784435	1	2210
0-0/noun	1.7522897	1.0	0.8422641	1	3803
06_nummer/noun			4.129841	1	140
1./num	-0.7675063	1.0	-1.6816653	1	46650
1.15/num			4.729578	1	79
1.6/num			3.1448357	1	375
1.730/num			5.713691	1	29
1/name	-0.25503632	2.0	-0.74497527	3	56531
1/num	-1.6916915	1.0	-2.59637	1	118827
1/tag			2.9655209	1	455
10-jarige/adj			2.5949652	1	663
10.000/num			-0.4324916	1	13558
10/noun			-0.8868427	1	21393
10/num	-1.4337518	1.0	-1.6476831	2	91258
100/name			1.2674961	1	2480
100/num			-0.9034644	2	43355
103/name			2.6872084	1	598
11/noun			-0.0448287	4	36830
11/num	-0.6252033	1.0	-0.4340659	3	40771
