_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
goedkoop.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSall	-1.524109448657631	-1.0480388695112703	LEMMAPATH2	NA	NA	LEMMAPATH	416	no	NA	NA	5000	all	301	1	goedkoop.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
goedkoop.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSnav	-1.634245184289976	-1.052910530186052	LEMMAPATH2	NA	NA	LEMMAPATH	416	no	NA	NA	5000	nav	301	1	goedkoop.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
goedkoop.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSall	-1.3884754481635222	-0.4677640497968272	LEMMAPATH2	NA	NA	LEMMAPATH	416	no	NA	NA	FOC	all	301	1	goedkoop.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
goedkoop.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSnav	-1.4218379836913762	-0.394068932300388	LEMMAPATH2	NA	NA	LEMMAPATH	416	no	NA	NA	FOC	nav	301	1	goedkoop.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
goedkoop.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSall	-1.3438259577064455	-0.6465817136089971	LEMMAPATH2	NA	NA	LEMMAPATH	316	selection	NA	NA	5000	all	293	1	goedkoop.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
goedkoop.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSnav	-1.439479396207861	-0.6593690125018531	LEMMAPATH2	NA	NA	LEMMAPATH	316	selection	NA	NA	5000	nav	293	1	goedkoop.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
goedkoop.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSall	-1.3158075494635044	-0.2632795506637437	LEMMAPATH2	NA	NA	LEMMAPATH	316	selection	NA	NA	FOC	all	293	1	goedkoop.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
goedkoop.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSnav	-1.3471654313376369	-0.2125760160533321	LEMMAPATH2	NA	NA	LEMMAPATH	316	selection	NA	NA	FOC	nav	293	1	goedkoop.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
goedkoop.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSall	-1.446160257774998	0.3522101282796867	LEMMAPATH2	NA	NA	LEMMAPATH	316	weight	NA	NA	5000	all	293	1	goedkoop.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
goedkoop.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSnav	-1.4630490685758308	0.37694451066814416	LEMMAPATH2	NA	NA	LEMMAPATH	316	weight	NA	NA	5000	nav	293	1	goedkoop.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
goedkoop.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSall	-1.457033118839471	0.5828508554727382	LEMMAPATH2	NA	NA	LEMMAPATH	316	weight	NA	NA	FOC	all	293	1	goedkoop.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
goedkoop.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSnav	-1.4851476599873146	0.6167772572516712	LEMMAPATH2	NA	NA	LEMMAPATH	316	weight	NA	NA	FOC	nav	293	1	goedkoop.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
goedkoop.LEMMAPATH3.PPMIno.LENGTH5000.SOCPOSall	-0.2638021345280156	-1.5353007039184672	LEMMAPATH3	NA	NA	LEMMAPATH	694	no	NA	NA	5000	all	296	1	goedkoop.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
goedkoop.LEMMAPATH3.PPMIno.LENGTH5000.SOCPOSnav	-0.5750604442564214	-1.5208973857308608	LEMMAPATH3	NA	NA	LEMMAPATH	694	no	NA	NA	5000	nav	296	1	goedkoop.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
goedkoop.LEMMAPATH3.PPMIno.LENGTHFOC.SOCPOSall	-0.06553723573316626	-0.9818759198190872	LEMMAPATH3	NA	NA	LEMMAPATH	694	no	NA	NA	FOC	all	296	1	goedkoop.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
goedkoop.LEMMAPATH3.PPMIno.LENGTHFOC.SOCPOSnav	-0.07756928991775087	-0.9483738823113368	LEMMAPATH3	NA	NA	LEMMAPATH	694	no	NA	NA	FOC	nav	296	1	goedkoop.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
goedkoop.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall	-0.25248131506537913	-0.8566039681101303	LEMMAPATH3	NA	NA	LEMMAPATH	468	selection	NA	NA	5000	all	292	1	goedkoop.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
goedkoop.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSnav	-0.4104344224971142	-0.9213024433389944	LEMMAPATH3	NA	NA	LEMMAPATH	468	selection	NA	NA	5000	nav	292	1	goedkoop.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
goedkoop.LEMMAPATH3.PPMIselection.LENGTHFOC.SOCPOSall	-0.15629530819595028	-0.5230230322605292	LEMMAPATH3	NA	NA	LEMMAPATH	468	selection	NA	NA	FOC	all	292	1	goedkoop.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
goedkoop.LEMMAPATH3.PPMIselection.LENGTHFOC.SOCPOSnav	-0.18410324833889205	-0.5038244455902214	LEMMAPATH3	NA	NA	LEMMAPATH	468	selection	NA	NA	FOC	nav	292	1	goedkoop.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
goedkoop.LEMMAPATH3.PPMIweight.LENGTH5000.SOCPOSall	-0.9651782072614036	0.4554668745807264	LEMMAPATH3	NA	NA	LEMMAPATH	468	weight	NA	NA	5000	all	292	1	goedkoop.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
goedkoop.LEMMAPATH3.PPMIweight.LENGTH5000.SOCPOSnav	-1.003792962551664	0.5145204456470865	LEMMAPATH3	NA	NA	LEMMAPATH	468	weight	NA	NA	5000	nav	292	1	goedkoop.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
goedkoop.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall	-0.8984404633310085	0.7747483834363964	LEMMAPATH3	NA	NA	LEMMAPATH	468	weight	NA	NA	FOC	all	292	1	goedkoop.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
goedkoop.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSnav	-0.9349519446698852	0.8164401477070259	LEMMAPATH3	NA	NA	LEMMAPATH	468	weight	NA	NA	FOC	nav	292	1	goedkoop.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
goedkoop.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	-1.031903643070908	-0.9185681351401748	LEMMAPATHweight	NA	NA	LEMMAPATH	694	no	NA	NA	5000	all	296	1	goedkoop.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
goedkoop.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	-1.140991148757786	-0.9274336048107664	LEMMAPATHweight	NA	NA	LEMMAPATH	694	no	NA	NA	5000	nav	296	1	goedkoop.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
goedkoop.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	-0.8797070113501969	-0.563612081147747	LEMMAPATHweight	NA	NA	LEMMAPATH	694	no	NA	NA	FOC	all	296	1	goedkoop.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
goedkoop.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	-0.9127552049544396	-0.5107245768883629	LEMMAPATHweight	NA	NA	LEMMAPATH	694	no	NA	NA	FOC	nav	296	1	goedkoop.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
goedkoop.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	-0.959110668700224	-0.6169139327873706	LEMMAPATHweight	NA	NA	LEMMAPATH	468	selection	NA	NA	5000	all	292	1	goedkoop.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
