cw	pmi_4	raw_4	pmi_10	raw_10	freq
!/name	-0.869256	5.0	-0.60758007	16	19257
!/punct	0.017726686	88.0	-0.00054312614	213	142029
"""/punct"	-0.11728487	2649.0	-0.08189969	6803	4844510
$/num	1.5243787	1.0	2.0120974	4	352
$1,7/num			3.8238928	1	14
$1/num	2.6909838	1.0	1.8047132	1	110
$10,69/num	7.846585	1.0	7.060787	1	1
$100/num	3.2414145	1.0	3.0338135	2	63
$108/num	5.990287	1.0	5.076656	1	4
$11/16/num	7.376581	1.0	6.46295	1	1
$119/num	6.088727	1.0	5.224576	1	4
$120/num			4.3835087	1	8
$16.000/num			5.769803	1	2
$19,62/num			6.46295	1	1
$199/num			5.0642333	1	5
$2,5/num	3.7724428	1.0	2.8780434	1	37
$2,6875/num	7.6642632	1.0	6.973776	1	1
$22,91/num			6.46295	1	1
$23/num	4.627709	1.0	3.7188895	1	16
$25/num			2.51846	1	55
$28,89/num	7.846585	1.0	7.060787	1	1
$3,7/num			4.6711907	1	6
$30/num			2.3087656	1	66
$35.000/num			5.364338	1	3
$35/num			3.0819554	1	30
$38/num	4.7110906	1.0	3.8132355	1	15
$5,50/num	5.990287	1.0	5.168223	1	4
$5/num	3.6066978	2.0	2.708166	2	87
$50/num	3.3738039	1.0	2.4786065	1	55
$57,30/num	7.376581	1.0	6.46295	1	1
$6/num	3.9305696	2.0	3.4482327	3	63
$62,97/num			7.060787	1	1
$68,68/num			6.46295	1	1
$7,5/num	4.912728	1.0	4.0119452	1	12
$75/num	4.048851	1.0	3.1433244	1	28
$81/num	5.7671432	1.0	4.8535123	1	5
$89/num	5.4670386	1.0	4.5758805	1	7
%/adj			2.146129	1	78
%/noun			-0.1619115	1	789
&/adj	3.7162297	1.0	2.822736	1	41
&/name	-0.78336316	15.0	0.039353512	84	52896
&/noun	-0.114715725	1.0	-0.31324315	2	1846
&/punct	-0.21717085	4.0	-0.55576485	7	8058
&Gabbana/name			4.788974	3	16
&Gall/name			3.327456	1	23
&Laag/name			4.5170403	2	14
&Spencer/name			2.6971097	1	44
&Van/name			0.23552461	1	518
&Wittney/name	7.376581	1.0	6.46295	1	1
&Young/name			1.4796861	1	147
&stevig/noun	7.376581	1.0	6.46295	1	1
'/punct	-0.009903238	1664.0	-0.04861363	3963	2720890
'10/num			2.0629609	1	82
'20/num	1.7666515	1.0	0.86120045	1	274
'30/num	1.4149317	1.0	0.50568897	1	389
'41/noun			2.7252805	1	42
'50/num	1.4448334	2.0	0.5373584	2	756
'58/name			2.0623472	1	82
'60/num			-0.5718341	1	1143
'68/noun			0.8087082	2	574
'73/noun			1.4684443	1	148
'80/name			1.2674965	1	183
'80/num			-0.2577825	2	1666
'82/noun			1.1812705	1	198
'86/noun	1.892822	1.0	0.98002225	1	241
'90/num	0.13012394	1.0	0.8295902	5	1406
'91/noun			0.24814214	1	502
'95/name	3.2494466	1.0	2.3398561	1	62
'98/noun			-1.39484	1	2605
'98/num	1.2153738	1.0	1.0036839	2	478
'99/noun			-0.6490512	2	2518
'Classic'_kaart/noun	7.376581	1.0	6.46295	1	1
'Rork'_fan/noun			6.46295	1	1
'edelramsj'_zaak/noun			6.46295	1	1
'fun'_gehalte/noun			6.46295	1	1
'light'_gevangenis/noun			6.46295	1	1
'platskarty'_afdeling/noun	7.376581	1.0	6.46295	1	1
's/adv	-1.4625486	9.0	-0.718276	47	62265
's/det	-1.9374547	1.0	-0.44028577	11	11206
't/adj			1.2863768	2	358
't/name	-1.7200094	2.0	-0.7489584	13	17963
(/name			-1.6900398	1	3563
(/noun	0.06582208	2.0	-0.1475271	4	3006
(/punct	-0.44701967	1087.0	-0.41348377	2743	2759129
(speelgoed)bijouterie/noun	7.376581	1.0	6.46295	1	1
)/noun			-0.5787457	2	2313
)/punct	-0.5446639	965.0	-0.4151813	2713	2758869
)/tag	0.49187058	4.0	-0.0072428114	6	3950
***/num	-0.20373592	1.0	-0.011171938	3	2003
**/num	1.1355746	1.0	0.93282694	2	530
*/tag	0.2560917	92.0	0.20987001	207	117193
*Er/noun			3.8238928	1	14
*Joachim/noun			6.46295	1	1
*Volgende/adj	6.277969	1.0	5.4696984	1	3
*Wonen/noun			6.46295	1	1
*www.delicatessenhuis.nl/noun			6.46295	1	1
+/name			-0.8089967	1	1471
+/prep	-1.1531498	3.0	-0.7542831	11	15336
+0,035/num			5.769803	1	2
+0,045/num			6.46295	1	1
+0,085/num			5.364338	1	3
+0,38/num	6.683434	1.0	5.769803	1	2
+15,2%/num			6.46295	1	1
+2,44%/num			6.46295	1	1
+26,8%/num			6.46295	1	1
+Alle/adj			5.769803	1	2
+Eenrichtingsverkeer/verb			6.46295	1	1
+Nice/noun	7.376581	1.0	6.46295	1	1
+RW_schijf_DIM/noun	7.376581	1.0	6.46295	1	1
,/name	-2.7462127	1.0	-1.4528806	9	24958
,/punct	0.100379534	12498.0	-0.006397091	27842	18092245
-'Tot/name			6.46295	1	1
--/name	1.0673449	1.0	0.16198096	1	552
--/noun			0.07438881	1	600
--/punct	0.38114515	69.0	0.49170905	185	75440
--Summer/noun	7.376581	1.0	6.46295	1	1
--als/noun			5.364338	1	3
-/name	-2.4199717	2.0	-2.2226205	6	36107
-/noun			-1.3615956	1	2534
-/num			-3.4046512	1	19634
-/punct	0.24933925	843.0	0.069890074	1736	1059446
-0,02/num	6.683434	1.0	5.769803	1	2
-0,025/num	7.376581	2.0	6.46295	2	2
-0,03/num	5.5848217	1.0	4.722484	1	6
-0,04/num	6.277969	1.0	5.364338	1	3
-0,045/num			5.5074387	1	3
-0,05/num			4.7312946	1	6
-0,06/num			4.7312946	1	6
-0,065/num			6.46295	1	1
-0,07/num			4.3835087	1	8
-0,075/num			5.769803	1	2
-0,1%/num			5.1960025	1	4
-0,105/num			5.769803	1	2
-0,60/num			4.2657256	1	10
-1/num			-0.1328986	1	736
-10/num			1.1623853	1	204
-12/num	1.7512107	1.0	0.8514658	1	279
-15%/num	5.5848217	1.0	4.6711907	1	6
-2/num			0.23394623	1	509
-25-jarigen/adj	4.7375236	1.0	3.8455544	1	14
-25/adj			5.769803	2	4
-3,5/num	4.7375236	1.0	3.8238928	1	14
-4/num	1.6703018	1.0	1.4531486	2	301
-9/num	2.4602566	1.0	2.2452824	2	137
-AARSCHOT/name			5.076656	1	4
-ABN/name	5.5848217	1.0	4.6711907	1	6
-Als/name			2.7703278	1	41
-Beetje/noun	6.277969	1.0	5.364338	1	3
-Bij/name			2.5281878	1	52
-De/name	0.06369411	1.0	0.7684103	5	1530
-Duitsland/noun			4.5170403	1	7
-Een/name			0.46961242	1	419
-Ex-premier/name			6.46295	1	1
-HH/noun			1.6175827	1	138
-Het/name	1.0675724	1.0	0.85898805	2	563
-Johnny/name			6.46295	1	1
-Kom/name			6.46295	1	1
-Poolse/name	7.376581	1.0	6.46295	1	1
-Sportwereld/name	4.4321423	1.0	3.5290933	1	19
-Telecombedrijf/name			5.364338	1	3
-Tijdens/name	5.5848217	1.0	4.6711907	1	6
-Universiteiten/name	7.376581	1.0	6.46295	1	1
-Voorpagina/noun	2.8253393	1.0	2.6080267	2	95
-Werkgevers/name			4.8535123	1	5
-al/noun			2.303286	1	65
-alleen/noun	5.504779	2.0	4.591148	2	13
-bakstenen/noun			6.46295	1	1
-boni/noun			3.8827333	1	14
-dat/noun	2.7503836	2.0	1.8426452	2	205
-de/name	2.3014073	1.0	1.3934172	1	160
-de/noun	1.0964193	1.0	0.18913026	1	534
-diensten/noun	3.2334464	1.0	2.330989	1	63
-doelstelling/name			6.46295	1	1
-driemasters/noun			6.5142436	1	1
-drink/verb			4.583485	1	7
-dus/noun	4.8916745	1.0	3.9780436	1	12
-en/noun	1.3064209	2.0	0.39963022	2	867
-films/noun	4.0092854	1.0	3.0956545	1	29
-garages/noun			5.076656	1	4
-gestaag/noun			6.46295	1	1
-gravures/noun			6.46295	1	1
-harten9/noun	3.5053802	1.0	2.5917492	1	48
-helemaal/adj			5.769803	1	2
-het/noun			0.76904976	1	301
-hogere/adj			6.46295	1	1
-iep/noun			6.46295	1	1
-immers/noun	5.7671432	1.0	4.8535123	1	5
-importeurs/noun	4.8916745	1.0	3.9948506	1	12
-is/noun	1.9932334	1.0	1.0860528	1	218
-kandidaat/noun	6.816965	1.0	5.9929466	1	2
-koffertjes/name	7.376581	1.0	6.46295	1	1
-mede/noun	4.821294	1.0	3.925293	1	13
-meisje/noun			4.160365	1	10
-naar/noun	3.1869264	1.0	2.2740533	1	66
-net/noun	3.8800735	2.0	2.97634	2	66
-pak/noun			5.364338	1	3
-ringtones/name			6.46295	1	1
-schoenen/noun	4.241087	1.0	3.327456	1	23
-schoppen9/noun	3.6389115	1.0	2.7252805	1	42
-schoppenA/noun			1.1648829	1	201
-stimuleer/verb	6.683434	1.0	5.769803	1	2
-strips/noun	6.683434	1.0	5.769803	1	2
-te/noun			2.4269412	1	57
-uur/noun			4.5170403	1	7
-verkoper/noun			3.677939	1	17
-verwerking/noun			2.4823344	1	54
-voor/noun	2.7528346	1.0	1.8438771	1	102
-vrouwen/noun	1.8353176	1.0	0.9333227	1	256
-wel/name	5.5848217	1.0	4.6965084	1	6
-zet/noun			5.076656	1	4
-zoals/noun			2.4264996	2	114
................./num			2.6844585	1	47
..../punct	-0.22554976	3.0	-0.6210918	5	6065
.../name			-0.6870844	2	2586
.../punct	-0.3714609	44.0	-0.28793317	118	103573
...?/name			2.1217456	1	79
...?/num			0.0058666356	1	657
../punct	0.19544078	4.0	0.10331868	9	5416
./name			-0.41868353	3	3011
./punct	0.12170886	19576.0	0.1055938	47803	28225482
.Net/noun			3.4184277	1	21
.be/noun			3.2067785	2	54
//name	-0.45515525	5.0	-0.5317831	11	13088
//punct	-1.2504162	8.0	-0.8840261	28	45910
0'_lijn/noun			6.46295	1	1
0,012/num	5.073996	1.0	4.160365	1	10
0,015/num	5.7671432	1.0	4.8535123	1	5
0,017/num			4.5170403	1	7
0,02/num	2.1229997	1.0	1.2219971	1	192
0,035/num	5.990287	2.0	5.076656	2	8
0,0374/num			6.46295	1	1
0,05/num			1.0410887	1	230
0,06/num	2.4033017	1.0	2.1932528	2	145
0,08/num	2.7503836	1.0	1.8503081	1	103
0,086/num	5.5848217	1.0	4.6711907	1	6
0,1/num	1.5223453	6.0	1.1291933	10	2099
0,14/num			1.5673517	1	135
0,15/num	1.3458959	1.0	1.8291925	4	417
0,16/num			1.6000419	1	131
0,17/num			1.63985	1	126
0,19%/num			4.2938967	1	9
0,2/num	1.4192644	7.0	0.9703378	11	2720
0,20/num	3.272905	2.0	2.3816066	2	122
0,21/num			2.2108898	1	71
0,25/num	1.240881	2.0	1.028028	4	927
0,2889/num			6.46295	1	1
0,3/num	1.534798	7.0	0.9894198	10	2423
0,30/num	2.532394	1.0	2.7284603	3	127
0,34/num	2.8359494	1.0	1.9335817	1	94
0,342/num	7.376581	1.0	6.46295	1	1
0,35/num	1.7289282	1.0	0.8269114	1	285
0,37/num			1.631043	1	126
0,4/num	0.6857906	3.0	1.0833881	11	2426
0,40%/num	6.277969	1.0	5.364338	1	3
0,40/num	2.5309188	2.0	1.625875	2	255
0,4050/num			6.46295	1	1
0,41/num			1.7661128	1	111
0,45/num	0.76168793	1.0	0.66370606	2	764
0,47/num			2.1302452	1	77
0,48/num			2.0525792	1	84
0,49/num			1.8508044	1	102
0,5/num	0.34068918	3.0	0.6415773	10	3424
0,50%/num	4.8916745	1.0	3.9780436	1	12
0,50/num	0.9551621	1.0	1.14753	3	617
0,54/num			2.1030414	1	79
0,55/num	1.6976892	1.0	0.79186314	1	294
0,56/num	2.6229908	1.0	1.7154127	1	116
0,58/num			2.163626	1	75
0,59/num	3.0878356	1.0	2.1848962	1	73
0,6/num	1.5856657	6.0	1.0902987	9	1971
0,60/num			1.6081893	1	131
0,63/num	2.9637828	1.0	2.0654194	1	83
0,64/num			1.9335817	1	95
