_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
grijs.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSall	-2.1016994698323703	-0.7520550562921575	LEMMAPATH2	NA	NA	LEMMAPATH	395	no	NA	NA	5000	all	303	1	grijs.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav
grijs.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSnav	-2.015621926552579	-0.5888438822909393	LEMMAPATH2	NA	NA	LEMMAPATH	395	no	NA	NA	5000	nav	303	1	grijs.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav
grijs.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSall	-1.465207391694493	0.06694310305833202	LEMMAPATH2	NA	NA	LEMMAPATH	395	no	NA	NA	FOC	all	303	2	grijs.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
grijs.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSnav	-1.559540358507411	0.10539859888093848	LEMMAPATH2	NA	NA	LEMMAPATH	395	no	NA	NA	FOC	nav	303	3	grijs.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall
grijs.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSall	-1.76494596435665	-0.22987367640101047	LEMMAPATH2	NA	NA	LEMMAPATH	279	selection	NA	NA	5000	all	294	4	grijs.bound3-3all.PPMIselection.LENGTH5000.SOCPOSnav
grijs.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSnav	-1.6959209267093007	-0.14504247653941074	LEMMAPATH2	NA	NA	LEMMAPATH	279	selection	NA	NA	5000	nav	294	4	grijs.bound3-3all.PPMIselection.LENGTH5000.SOCPOSnav
grijs.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSall	-1.3439488790888643	0.2574553971434038	LEMMAPATH2	NA	NA	LEMMAPATH	279	selection	NA	NA	FOC	all	294	2	grijs.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
grijs.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSnav	-1.423138847545684	0.2935896011140943	LEMMAPATH2	NA	NA	LEMMAPATH	279	selection	NA	NA	FOC	nav	294	2	grijs.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
grijs.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSall	-1.0709249116640172	0.6726644378999783	LEMMAPATH2	NA	NA	LEMMAPATH	279	weight	NA	NA	5000	all	294	1	grijs.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav
grijs.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSnav	-1.1065223805456834	0.690776418908583	LEMMAPATH2	NA	NA	LEMMAPATH	279	weight	NA	NA	5000	nav	294	1	grijs.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav
grijs.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSall	-1.0994675611776017	0.867792965144959	LEMMAPATH2	NA	NA	LEMMAPATH	279	weight	NA	NA	FOC	all	294	3	grijs.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall
grijs.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSnav	-1.1107195004393058	0.913826629634496	LEMMAPATH2	NA	NA	LEMMAPATH	279	weight	NA	NA	FOC	nav	294	3	grijs.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall
grijs.LEMMAPATH3.PPMIno.LENGTH5000.SOCPOSall	-1.3916201123133534	-1.2995628103448074	LEMMAPATH3	NA	NA	LEMMAPATH	689	no	NA	NA	5000	all	302	2	grijs.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
grijs.LEMMAPATH3.PPMIno.LENGTH5000.SOCPOSnav	-1.3729630221939748	-1.082718541998872	LEMMAPATH3	NA	NA	LEMMAPATH	689	no	NA	NA	5000	nav	302	2	grijs.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
