_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
hachelijk.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSall	-0.2803803167895392	-0.777468452469788	LEMMAPATH2	NA	NA	LEMMAPATH	203	no	NA	NA	5000	all	239	1	hachelijk.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hachelijk.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSnav	-0.28651789324525	-0.7621747211015151	LEMMAPATH2	NA	NA	LEMMAPATH	203	no	NA	NA	5000	nav	239	1	hachelijk.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hachelijk.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSall	-0.4132095974634256	-0.5973539144825892	LEMMAPATH2	NA	NA	LEMMAPATH	203	no	NA	NA	FOC	all	239	1	hachelijk.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hachelijk.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSnav	-0.4275008149771895	-0.6892334865129687	LEMMAPATH2	NA	NA	LEMMAPATH	203	no	NA	NA	FOC	nav	239	1	hachelijk.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hachelijk.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSall	-0.3292990367384966	-0.6377692181455152	LEMMAPATH2	NA	NA	LEMMAPATH	146	selection	NA	NA	5000	all	238	1	hachelijk.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hachelijk.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSnav	-0.34654711490754936	-0.6342251567846902	LEMMAPATH2	NA	NA	LEMMAPATH	146	selection	NA	NA	5000	nav	238	1	hachelijk.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hachelijk.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSall	-0.47793334594997505	-0.5104305384364275	LEMMAPATH2	NA	NA	LEMMAPATH	146	selection	NA	NA	FOC	all	238	1	hachelijk.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hachelijk.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSnav	-0.4799828901931932	-0.5765925842947596	LEMMAPATH2	NA	NA	LEMMAPATH	146	selection	NA	NA	FOC	nav	238	1	hachelijk.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hachelijk.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSall	-0.7960208633161581	-0.26375583084052195	LEMMAPATH2	NA	NA	LEMMAPATH	146	weight	NA	NA	5000	all	238	2	hachelijk.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
hachelijk.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSnav	-0.7918867547182624	-0.3001731198546978	LEMMAPATH2	NA	NA	LEMMAPATH	146	weight	NA	NA	5000	nav	238	2	hachelijk.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
hachelijk.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSall	-0.890026621660354	-0.27818520656629264	LEMMAPATH2	NA	NA	LEMMAPATH	146	weight	NA	NA	FOC	all	238	2	hachelijk.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
hachelijk.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSnav	-0.9099258494315092	-0.26785491926238064	LEMMAPATH2	NA	NA	LEMMAPATH	146	weight	NA	NA	FOC	nav	238	3	hachelijk.bound3-3lex.PPMIweight.LENGTHFOC.SOCPOSnav
hachelijk.LEMMAPATH3.PPMIno.LENGTH5000.SOCPOSall	0.17893021342436993	-0.9587297024289264	LEMMAPATH3	NA	NA	LEMMAPATH	423	no	NA	NA	5000	all	238	1	hachelijk.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
