_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
haken.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSall	-1.2527820115726815	-0.26397089473186597	LEMMAPATH2	NA	NA	LEMMAPATH	545	no	NA	NA	5000	all	246	1	haken.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall
haken.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSnav	-1.1986757714580112	-0.3003993612517107	LEMMAPATH2	NA	NA	LEMMAPATH	545	no	NA	NA	5000	nav	246	1	haken.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall
haken.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSall	-0.8972724037746713	-0.2868010194474301	LEMMAPATH2	NA	NA	LEMMAPATH	545	no	NA	NA	FOC	all	246	1	haken.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall
haken.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSnav	-0.9490565205437188	-0.28974927753537744	LEMMAPATH2	NA	NA	LEMMAPATH	545	no	NA	NA	FOC	nav	246	1	haken.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall
haken.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSall	-1.147344038661386	0.0089032302610222	LEMMAPATH2	NA	NA	LEMMAPATH	342	selection	NA	NA	5000	all	244	1	haken.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall
haken.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSnav	-1.119926262887495	-0.0260969580130246	LEMMAPATH2	NA	NA	LEMMAPATH	342	selection	NA	NA	5000	nav	244	1	haken.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall
haken.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSall	-0.7796323538576578	-0.11024084316512175	LEMMAPATH2	NA	NA	LEMMAPATH	342	selection	NA	NA	FOC	all	244	1	haken.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall
haken.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSnav	-0.853790277466458	-0.14483424175662635	LEMMAPATH2	NA	NA	LEMMAPATH	342	selection	NA	NA	FOC	nav	244	1	haken.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall
haken.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSall	-0.7544247025144437	-0.13355961466061955	LEMMAPATH2	NA	NA	LEMMAPATH	342	weight	NA	NA	5000	all	244	2	haken.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall
haken.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSnav	-0.7369612539901765	-0.1510501690780762	LEMMAPATH2	NA	NA	LEMMAPATH	342	weight	NA	NA	5000	nav	244	2	haken.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall
haken.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSall	-0.5747951840372275	-0.16197536056745784	LEMMAPATH2	NA	NA	LEMMAPATH	342	weight	NA	NA	FOC	all	244	2	haken.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall
haken.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSnav	-0.6442828932825587	-0.15776218292558963	LEMMAPATH2	NA	NA	LEMMAPATH	342	weight	NA	NA	FOC	nav	244	2	haken.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall
haken.LEMMAPATH3.PPMIno.LENGTH5000.SOCPOSall	-1.0939889825415705	-0.8964262224443575	LEMMAPATH3	NA	NA	LEMMAPATH	803	no	NA	NA	5000	all	245	1	haken.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall
haken.LEMMAPATH3.PPMIno.LENGTH5000.SOCPOSnav	-1.028114048801229	-0.8523144751228853	LEMMAPATH3	NA	NA	LEMMAPATH	803	no	NA	NA	5000	nav	245	1	haken.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall
haken.LEMMAPATH3.PPMIno.LENGTHFOC.SOCPOSall	-0.642284829199159	-0.6845572458993662	LEMMAPATH3	NA	NA	LEMMAPATH	803	no	NA	NA	FOC	all	245	1	haken.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall
haken.LEMMAPATH3.PPMIno.LENGTHFOC.SOCPOSnav	-0.6576989384442422	-0.6772679418273296	LEMMAPATH3	NA	NA	LEMMAPATH	803	no	NA	NA	FOC	nav	245	1	haken.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall
haken.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall	-0.9204074693362464	-0.40238858210654704	LEMMAPATH3	NA	NA	LEMMAPATH	442	selection	NA	NA	5000	all	245	1	haken.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall
haken.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSnav	-0.8832733511561625	-0.4141258709362508	LEMMAPATH3	NA	NA	LEMMAPATH	442	selection	NA	NA	5000	nav	245	1	haken.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall
haken.LEMMAPATH3.PPMIselection.LENGTHFOC.SOCPOSall	-0.547728540366351	-0.33124647347161895	LEMMAPATH3	NA	NA	LEMMAPATH	442	selection	NA	NA	FOC	all	245	2	haken.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall
haken.LEMMAPATH3.PPMIselection.LENGTHFOC.SOCPOSnav	-0.572391892066715	-0.3579432141134085	LEMMAPATH3	NA	NA	LEMMAPATH	442	selection	NA	NA	FOC	nav	245	2	haken.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall
haken.LEMMAPATH3.PPMIweight.LENGTH5000.SOCPOSall	-0.35341171868180193	-0.2748021420979699	LEMMAPATH3	NA	NA	LEMMAPATH	442	weight	NA	NA	5000	all	245	2	haken.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall
haken.LEMMAPATH3.PPMIweight.LENGTH5000.SOCPOSnav	-0.34547266462565146	-0.2797154408488722	LEMMAPATH3	NA	NA	LEMMAPATH	442	weight	NA	NA	5000	nav	245	2	haken.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall
haken.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall	-0.2563869880031192	-0.2771956330395503	LEMMAPATH3	NA	NA	LEMMAPATH	442	weight	NA	NA	FOC	all	245	2	haken.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall
haken.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSnav	-0.2529681123775097	-0.2908670179421548	LEMMAPATH3	NA	NA	LEMMAPATH	442	weight	NA	NA	FOC	nav	245	2	haken.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall
haken.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	-1.1579358162609528	-0.32102080714518033	LEMMAPATHweight	NA	NA	LEMMAPATH	803	no	NA	NA	5000	all	245	1	haken.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall
haken.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	-1.1441540246506512	-0.3602710307669646	LEMMAPATHweight	NA	NA	LEMMAPATH	803	no	NA	NA	5000	nav	245	1	haken.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall
haken.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	-0.7183814653972038	-0.3137965647832446	LEMMAPATHweight	NA	NA	LEMMAPATH	803	no	NA	NA	FOC	all	245	1	haken.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall
haken.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	-0.7550167741721202	-0.32106799208500825	LEMMAPATHweight	NA	NA	LEMMAPATH	803	no	NA	NA	FOC	nav	245	1	haken.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall
haken.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	-0.9204074693362464	-0.40238858210654704	LEMMAPATHweight	NA	NA	LEMMAPATH	442	selection	NA	NA	5000	all	245	1	haken.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall
haken.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	-0.8832733511561625	-0.4141258709362508	LEMMAPATHweight	NA	NA	LEMMAPATH	442	selection	NA	NA	5000	nav	245	1	haken.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall
haken.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	-0.547728540366351	-0.33124647347161895	LEMMAPATHweight	NA	NA	LEMMAPATH	442	selection	NA	NA	FOC	all	245	2	haken.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall
haken.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	-0.572391892066715	-0.3579432141134085	LEMMAPATHweight	NA	NA	LEMMAPATH	442	selection	NA	NA	FOC	nav	245	2	haken.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall
haken.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall	-0.35341171868180193	-0.2748021420979699	LEMMAPATHweight	NA	NA	LEMMAPATH	442	weight	NA	NA	5000	all	245	2	haken.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall
haken.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSnav	-0.34547266462565146	-0.2797154408488722	LEMMAPATHweight	NA	NA	LEMMAPATH	442	weight	NA	NA	5000	nav	245	2	haken.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall
haken.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSall	-0.2563869880031192	-0.2771956330395503	LEMMAPATHweight	NA	NA	LEMMAPATH	442	weight	NA	NA	FOC	all	245	2	haken.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall
