cw	pmi_4	raw_4	pmi_10	raw_10	freq
!!/punct			1.8172135	1	912
!/name			1.0575103	10	19257
!/punct	0.3171272	14.0	0.53445876	43	142029
"""/name"			3.2092009	1	222
"""/punct"	-0.33211327	252.0	-0.22084437	700	4844510
##Signature##/noun			4.562919	1	72
#Ike/adj	9.514261	1.0	8.598044	1	1
$230/num	8.127967	1.0	7.249971	1	4
%/noun			1.9731824	1	789
&/name	-1.3537334	1.0	-0.870075	4	52896
'/punct	-0.28525656	149.0	-0.20431484	401	2720890
'72/noun			3.6546175	1	141
'75-'76/num			6.518603	1	8
'97/noun			1.1449459	1	1737
'Nero'_album/noun			6.9886065	1	5
's/adv	-0.13579884	4.0	0.051577006	12	62265
's/det	0.89337254	2.0	0.6832073	4	11206
't/name	-0.27547666	1.0	-0.080201544	3	17963
(/noun			0.6012725	1	3006
(/punct	-0.89379734	82.0	-0.39913955	329	2759129
)/punct	-0.35913107	137.0	-0.4020725	325	2758869
)/tag			0.33609167	1	3950
*/tag	0.17456822	10.0	0.1477394	23	117193
,/name			-0.821864	2	24958
,/punct	-0.069981284	1243.0	-0.10190675	2992	18092245
"-""Niet/name"			7.499432	1	3
--/punct	-0.328987	4.0	-0.028603453	13	75440
-/name	-0.97543895	1.0	0.42329904	10	36107
-/punct	0.1609118	91.0	-0.0020814354	191	1059446
-De/name			1.2940663	1	1530
-aanleg/noun			7.499432	1	3
-handel/noun	4.9166193	1.0	4.006466	1	100
-hereniging/noun	6.681048	1.0	5.7648306	1	17
.../punct	0.28461456	10.0	0.1209986	21	103573
./name			0.61779815	1	3011
./punct	0.0708109	2194.0	0.009094806	5132	28225482
//punct			-1.3879895	2	45910
0,0062/num			7.904897	1	2
0,01/num	4.9999733	2.0	4.4995418	3	183
0,02/num	4.953827	2.0	4.050238	2	192
0,03/num			3.6387022	1	144
0,06/num	4.540982	1.0	3.6351995	1	145
0,1/num	1.8682657	1.0	1.6548494	2	2099
0,14/num	4.6136265	1.0	3.7024457	1	135
0,2/num	1.6110343	1.0	0.7075365	1	2720
0,45/num	2.899368	1.0	2.1056528	1	764
0,5/num			0.47408617	1	3424
0,6/num			1.0281681	1	1971
0,62/num	4.739348	1.0	3.835016	1	119
0,65/num			3.1429367	1	236
0,7/num			0.87013465	1	2306
0,74/num			3.8059795	1	121
0,82/num	4.9924726	1.0	4.081705	1	92
0-2/num			-0.88821054	1	13333
0/num	-0.58863044	2.0	-1.0926038	3	49075
09/226.07.14/num			8.598044	1	1
1,1/num			0.24521868	1	4322
1,10/num			2.5344915	1	434
1,18/num	4.143042	1.0	3.2374566	1	216
1,2/adj	6.080274	5.0	5.351229	6	155
1,2/num	2.2176106	5.0	1.7838787	8	7412
1,24/num	3.4008555	1.0	2.4977252	1	454
1,4/num			0.8127494	2	4888
1,421/num			8.598044	2	2
1,5/num	0.23265877	1.0	-0.67155516	1	10787
1,50/num	2.682982	1.0	2.4712296	2	931
1,6/num	1.0409154	1.0	0.13686064	1	4810
1,7/num			0.21583486	1	4438
1-1/noun			-0.7514232	1	11709
1.000/num			0.6284674	3	8825
1.000_euro/noun			6.2954593	1	10
1.100/num			1.4053355	1	1359
1.169/num			5.630197	1	20
1.2/num	3.8993099	1.0	2.988023	1	275
1.200/num			0.6252161	1	2952
1.257/num	6.8575044	1.0	5.973376	1	15
1.350/num	3.7784956	1.0	2.8705451	1	312
1.450/num	4.343777	1.0	3.4366927	1	178
1.50/num	4.6192236	1.0	3.7251396	1	136
1.500/num	1.3716705	2.0	0.466043	2	6921
1.764/num			6.177676	1	12
1.814,25/num			7.904897	1	2
1/name	0.19424827	5.0	-0.111914	9	56531
1/noun	1.3209391	19.0	1.1399785	39	69141
1/num	-0.5492598	5.0	-0.35387084	15	118827
10-jarige/adj	3.0307715	1.0	2.1294143	1	663
10.000/num	0.69942003	2.0	1.0478675	7	13558
10.30/noun			0.638611	1	2910
10/adj	4.223472	1.0	4.019988	2	200
