_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
heilzaam.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSall	-0.7277171602077546	-1.2871762589108655	LEMMAPATH2	NA	NA	LEMMAPATH	229	no	NA	NA	5000	all	236	1	heilzaam.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
heilzaam.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSnav	-0.7114590741521514	-1.22726880777346	LEMMAPATH2	NA	NA	LEMMAPATH	229	no	NA	NA	5000	nav	236	1	heilzaam.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
heilzaam.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSall	-0.7987152419854994	-0.8314183679856813	LEMMAPATH2	NA	NA	LEMMAPATH	229	no	NA	NA	FOC	all	236	1	heilzaam.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
heilzaam.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSnav	-0.8438868371772291	-0.9234304926840148	LEMMAPATH2	NA	NA	LEMMAPATH	229	no	NA	NA	FOC	nav	236	1	heilzaam.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
heilzaam.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSall	-0.7626275184576972	-1.0842700547444462	LEMMAPATH2	NA	NA	LEMMAPATH	162	selection	NA	NA	5000	all	234	1	heilzaam.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
heilzaam.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSnav	-0.7332435364182354	-1.0325927212541248	LEMMAPATH2	NA	NA	LEMMAPATH	162	selection	NA	NA	5000	nav	234	1	heilzaam.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
heilzaam.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSall	-0.8372443028510925	-0.7318710643129671	LEMMAPATH2	NA	NA	LEMMAPATH	162	selection	NA	NA	FOC	all	234	1	heilzaam.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
heilzaam.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSnav	-0.8349035044268976	-0.7787201396480653	LEMMAPATH2	NA	NA	LEMMAPATH	162	selection	NA	NA	FOC	nav	234	1	heilzaam.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
heilzaam.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSall	-0.971676115598201	-0.2764061409329233	LEMMAPATH2	NA	NA	LEMMAPATH	162	weight	NA	NA	5000	all	234	2	heilzaam.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
heilzaam.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSnav	-0.9972248757218662	-0.2734195078462326	LEMMAPATH2	NA	NA	LEMMAPATH	162	weight	NA	NA	5000	nav	234	2	heilzaam.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
