_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
helpen.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSall	-1.1350314178517709	-0.25821769294717495	LEMMAPATH2	NA	NA	LEMMAPATH	512	no	NA	NA	5000	all	227	1	helpen.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall
helpen.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSnav	-1.2007976893394845	-0.2679514418935135	LEMMAPATH2	NA	NA	LEMMAPATH	512	no	NA	NA	5000	nav	227	1	helpen.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall
helpen.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSall	-0.8780050288495869	-0.24194426584489903	LEMMAPATH2	NA	NA	LEMMAPATH	512	no	NA	NA	FOC	all	227	1	helpen.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall
helpen.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSnav	-1.0181899619814547	-0.2984796085921289	LEMMAPATH2	NA	NA	LEMMAPATH	512	no	NA	NA	FOC	nav	227	1	helpen.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall
helpen.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSall	-0.8183929618914495	0.11218650137159446	LEMMAPATH2	NA	NA	LEMMAPATH	291	selection	NA	NA	5000	all	223	2	helpen.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall
helpen.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSnav	-0.9301669091052982	0.07396874469537511	LEMMAPATH2	NA	NA	LEMMAPATH	291	selection	NA	NA	5000	nav	223	2	helpen.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall
helpen.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSall	-0.6981502144139593	0.17624454848772936	LEMMAPATH2	NA	NA	LEMMAPATH	291	selection	NA	NA	FOC	all	223	2	helpen.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall
helpen.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSnav	-0.7967991018630094	0.1572291516174152	LEMMAPATH2	NA	NA	LEMMAPATH	291	selection	NA	NA	FOC	nav	223	2	helpen.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall
helpen.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSall	-0.9888122921329228	0.21268521455463169	LEMMAPATH2	NA	NA	LEMMAPATH	291	weight	NA	NA	5000	all	223	3	helpen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
helpen.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSnav	-1.0956518674457645	0.17876529720170722	LEMMAPATH2	NA	NA	LEMMAPATH	291	weight	NA	NA	5000	nav	223	3	helpen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
