pmi10	raw_co10	pmi4	raw_co4	raw_freq	cw
1.5300238	1	NA	NA	69	!!!!/punct
0.7450623	4	1.3623753	3	592	!!!/punct
-1.0887116	1	NA	NA	898	!!/noun
0.019111108	3	0.9267499	3	912	!!/punct
-0.35759994	44	-0.84055203	11	19257	!/name
-0.6075808	12	-1.0838257	3	6683	!/noun
0.68778825	908	1.0459378	526	142029	!/punct
4.0918913	1	5.00739	1	5	!?!/name
1.0572591	3	0.8690284	1	323	!?/num
0.23694588	20042	0.35441312	9076	4844510	"""/punct"
2.7055972	1	NA	NA	20	$1,25/num
1.7362397	2	NA	NA	110	$1/num
3.7954974	2	NA	NA	14	$2,75/num
1.1860839	1	NA	NA	93	$3/num
5.701329	1	NA	NA	1	$4,19/num
5.008182	1	5.923681	1	2	$5,31/num
1.253398	1	NA	NA	87	$5/num
5.008182	1	NA	NA	2	$50,25/num
5.008182	1	NA	NA	2	$61,25/num
2.316939	1	NA	NA	30	$800/num
0.17507997	3	NA	NA	789	%/noun
-0.6757473	88	-1.0322909	25	52896	&/name
-1.0748639	2	-0.1813219	2	1846	&/noun
-0.4907071	16	NA	NA	8058	&/punct
5.701329	2	NA	NA	2	&Daadwinkels/name
1.9092166	1	NA	NA	45	&Dreesmann/name
2.1459813	2	NA	NA	72	&Gamble/name
3.062272	1	3.9777703	1	14	&H/name
3.78809	2	NA	NA	14	&Hauspie/name
2.7055972	1	NA	NA	20	&Julia/name
2.656807	1	NA	NA	21	&Media/name
5.701329	1	NA	NA	1	&Meug/noun
0.7180653	1	1.6280973	1	147	&Young/name
3.7554193	1	NA	NA	7	&Zaken/name
2.2497559	1	NA	NA	32	&de/name
5.701329	1	NA	NA	1	&foto/noun
1.8105301	1	NA	NA	49	'/adv
0.5637678	1	NA	NA	174	'/det
0.0012843842	8922	0.002052914	3600	2720890	'/punct
0.8457897	1	NA	NA	132	'02/name
0.5818397	1	NA	NA	169	'11/num
2.525361	1	NA	NA	25	'16/num
0.099579655	1	NA	NA	274	'20/num
1.754905	1	NA	NA	54	'23/name
-0.25593182	1	NA	NA	389	'30/num
1.5269421	1	NA	NA	65	'40/noun
3.3987443	2	3.6210954	1	20	'45/name
5.008182	1	NA	NA	2	'48-'49/num
3.2205982	1	4.1319213	1	12	'50-'60/num
2.611045	3	NA	NA	67	'53/noun
1.8095092	1	NA	NA	49	'55/noun
-1.333455	1	NA	NA	1143	'60/num
1.1511436	1	2.0629508	1	95	'65/noun
0.74797016	1	1.6610007	1	142	'67/noun
-0.6460598	1	NA	NA	574	'68/noun
0.70682347	1	NA	NA	148	'73/noun
0.49704802	1	1.4052945	1	184	'74/noun
0.6804138	1	1.5929472	1	152	'75/noun
