_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
hemels.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSall	-0.8992575558203046	-1.5685377868503467	LEMMAPATH2	NA	NA	LEMMAPATH	290	no	NA	NA	5000	all	206	1	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSnav	-0.92269091595011	-1.457474484253814	LEMMAPATH2	NA	NA	LEMMAPATH	290	no	NA	NA	5000	nav	206	1	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSall	-0.9857604982361023	-0.9547215547804274	LEMMAPATH2	NA	NA	LEMMAPATH	290	no	NA	NA	FOC	all	206	1	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSnav	-1.0561427692562122	-0.8866855066590877	LEMMAPATH2	NA	NA	LEMMAPATH	290	no	NA	NA	FOC	nav	206	1	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSall	-0.8588607826069148	-1.1263478749484743	LEMMAPATH2	NA	NA	LEMMAPATH	222	selection	NA	NA	5000	all	202	1	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSnav	-0.903209625798032	-1.0766551705235647	LEMMAPATH2	NA	NA	LEMMAPATH	222	selection	NA	NA	5000	nav	202	1	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSall	-0.9362862185927848	-0.7672496062765141	LEMMAPATH2	NA	NA	LEMMAPATH	222	selection	NA	NA	FOC	all	202	1	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSnav	-1.0228680527078775	-0.7233062608278148	LEMMAPATH2	NA	NA	LEMMAPATH	222	selection	NA	NA	FOC	nav	202	1	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSall	-1.137056825173423	-0.30963450598932335	LEMMAPATH2	NA	NA	LEMMAPATH	222	weight	NA	NA	5000	all	202	2	hemels.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
hemels.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSnav	-1.15571990844903	-0.3265890969424452	LEMMAPATH2	NA	NA	LEMMAPATH	222	weight	NA	NA	5000	nav	202	2	hemels.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
hemels.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSall	-1.2170100731101938	-0.17549540231343014	LEMMAPATH2	NA	NA	LEMMAPATH	222	weight	NA	NA	FOC	all	202	3	hemels.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSnav	-1.2882455936235688	-0.1133771056205058	LEMMAPATH2	NA	NA	LEMMAPATH	222	weight	NA	NA	FOC	nav	202	3	hemels.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAPATH3.PPMIno.LENGTH5000.SOCPOSall	-0.3610416089351874	-1.828375900673882	LEMMAPATH3	NA	NA	LEMMAPATH	477	no	NA	NA	5000	all	203	1	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAPATH3.PPMIno.LENGTH5000.SOCPOSnav	-0.4393313754770324	-1.6805197955420108	LEMMAPATH3	NA	NA	LEMMAPATH	477	no	NA	NA	5000	nav	203	1	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAPATH3.PPMIno.LENGTHFOC.SOCPOSall	-0.44006768695706194	-1.0705544107880798	LEMMAPATH3	NA	NA	LEMMAPATH	477	no	NA	NA	FOC	all	203	1	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAPATH3.PPMIno.LENGTHFOC.SOCPOSnav	-0.5685874943663657	-0.9841943232987216	LEMMAPATH3	NA	NA	LEMMAPATH	477	no	NA	NA	FOC	nav	203	1	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall	-0.4534444466656508	-1.2288752167077366	LEMMAPATH3	NA	NA	LEMMAPATH	338	selection	NA	NA	5000	all	201	1	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSnav	-0.49695718091957974	-1.1604413136339442	LEMMAPATH3	NA	NA	LEMMAPATH	338	selection	NA	NA	5000	nav	201	1	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAPATH3.PPMIselection.LENGTHFOC.SOCPOSall	-0.5318290514867933	-0.7028160522930481	LEMMAPATH3	NA	NA	LEMMAPATH	338	selection	NA	NA	FOC	all	201	1	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAPATH3.PPMIselection.LENGTHFOC.SOCPOSnav	-0.6102436945322751	-0.694906932519337	LEMMAPATH3	NA	NA	LEMMAPATH	338	selection	NA	NA	FOC	nav	201	1	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAPATH3.PPMIweight.LENGTH5000.SOCPOSall	-0.8713701328459038	-0.22154325931228827	LEMMAPATH3	NA	NA	LEMMAPATH	338	weight	NA	NA	5000	all	201	1	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAPATH3.PPMIweight.LENGTH5000.SOCPOSnav	-0.936665066732662	-0.2038630927346784	LEMMAPATH3	NA	NA	LEMMAPATH	338	weight	NA	NA	5000	nav	201	2	hemels.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
hemels.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall	-0.9069383559987848	-0.10038647592574056	LEMMAPATH3	NA	NA	LEMMAPATH	338	weight	NA	NA	FOC	all	201	1	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSnav	-1.0062251792897074	-0.03173949855761798	LEMMAPATH3	NA	NA	LEMMAPATH	338	weight	NA	NA	FOC	nav	201	1	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	-0.7376904792805018	-1.1330928204483903	LEMMAPATHweight	NA	NA	LEMMAPATH	477	no	NA	NA	5000	all	203	1	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	-0.7544590037071869	-1.0489048383046968	LEMMAPATHweight	NA	NA	LEMMAPATH	477	no	NA	NA	5000	nav	203	1	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	-0.6928709838470147	-0.6589077063170766	LEMMAPATHweight	NA	NA	LEMMAPATH	477	no	NA	NA	FOC	all	203	1	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	-0.7643975488611598	-0.6143389693194312	LEMMAPATHweight	NA	NA	LEMMAPATH	477	no	NA	NA	FOC	nav	203	1	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	-0.4534444466988206	-1.228875216852241	LEMMAPATHweight	NA	NA	LEMMAPATH	338	selection	NA	NA	5000	all	201	1	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	-0.4969571809371981	-1.1604413136942042	LEMMAPATHweight	NA	NA	LEMMAPATH	338	selection	NA	NA	5000	nav	201	1	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	-0.5318290514867933	-0.7028160522930481	LEMMAPATHweight	NA	NA	LEMMAPATH	338	selection	NA	NA	FOC	all	201	1	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	-0.6102436945322751	-0.6949069325193366	LEMMAPATHweight	NA	NA	LEMMAPATH	338	selection	NA	NA	FOC	nav	201	1	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall	-0.8713701328458977	-0.22154325931229335	LEMMAPATHweight	NA	NA	LEMMAPATH	338	weight	NA	NA	5000	all	201	1	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
