_id	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall.x	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall.y	hemels.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall.x	hemels.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall.y	hemels.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall.x	hemels.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall.y	hemels.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall.x	hemels.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall.y	hemels.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall.x	hemels.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall.y	hemels.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav.x	hemels.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav.y	hemels.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall.x	hemels.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall.y	hemels.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall.x	hemels.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall.y
11/num	12.669645568986185	28.277383349504017	0	0	0	0	0	0	0	0	-60.36170631126307	2.7092298586970793	0	0	0	0
161/num	11.045163491348763	27.546767266324917	0	0	0	0	0	0	-21.179566376788227	28.10095829079679	-52.72454723610095	26.06207114964605	0	0	0	0
24/noun	17.33601931755046	25.938530845118006	0	0	0	0	6.161822488629614	0.5086447046795982	23.645908968063686	-13.46707827009264	-60.20870513699562	-1.7862025488624336	3.0716406490135855	10.854270809695775	32.36159615189419	8.728443736122948
Albert/name	-20.64875470323569	-12.74244158875551	0	0	0	0	0	0	25.352180348725483	-8.795567703748878	16.237234097708583	-48.00593816625395	0	0	0	0
Amsterdams/adj	22.198172368700053	3.4720349298006106	0	0	0	0	-10.901888876789885	-5.850516278160532	0.14429762704624136	31.22705500859629	-32.191141834368814	-31.68640283953572	-1.778989905447164	-4.981624636793003	-0.01933088456796195	20.337194233119664
Art/name	16.486997218204376	22.63375287709465	0	0	0	0	0	0	0	0	17.4280865987321	-25.033212395655976	0	0	0	0
Aus/name	10.864243712275778	25.01397498207815	0	0	0	0	0	0	0	0	-8.322195508874264	-52.06875053889976	0	0	0	0
Cassandra/name	11.216600546510499	19.98454587459411	0	0	0	0	0	0	22.13046659387132	2.0582967326652937	-18.54192948322575	-47.07368532326505	0	0	0	0
China/name	-16.9280655910193	-18.800369349383406	0	0	0	0	0	0	-21.625520516194996	14.591683904424372	-39.26940629220498	-6.637324025773491	0	0	0	0
Cor/name	5.934910703379432	19.18352066260095	0	0	0	0	0	0	-25.53156377105755	-15.187216386714763	54.295111120809686	7.542264282292428	0	0	0	0
David/name	10.845157944146214	24.288647181331125	0	0	0	0	0	0	-20.671768839713298	23.06070485024928	11.093578008335937	-45.548994340187186	0	0	0	0
Dei/name	15.942467625180035	12.794145834859785	0	0	0	0	0	0	-4.177058849154386	-5.804222153240002	47.35393994875397	-17.837808581815747	0	0	0	0
Diana/name	10.292368328826605	19.942398412017504	0	0	0	0	0	0	23.00078696830792	0.4489153477076983	8.392599240200667	-39.91176269985497	0	0	0	0
François/name	9.042206788887132	25.05656610512714	0	0	0	0	0	0	-22.116544586656527	23.82383592487411	53.48586162458491	8.069089924799574	0	0	0	0
Gene/name	12.67322217476547	23.39753093804727	0	0	0	0	0	0	0	0	1.635789848934452	-42.957874465466006	0	0	0	0
Geoffrey/name	10.013076554104458	23.819252516144108	0	0	0	0	0	0	-22.831923596039243	22.364749521893746	2.9956250933678534	-45.341117878213495	0	0	0	0
Jeruzalem/name	-15.576833545930224	-11.861385256172452	0	0	0	0	0	0	-6.046741391985399	-3.755481996371718	27.847037666002407	-5.126548931629619	0	0	0	0
Lennon/name	14.246890002633672	20.15281817867378	0	0	0	0	0	0	0	0	-1.8721555689019984	-49.32946815723369	0	0	0	0
