_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
herroepen.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSall	-0.9769856496087644	-1.201709948750061	LEMMAPATH2	NA	NA	LEMMAPATH	451	no	NA	NA	5000	all	236	1	herroepen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav
herroepen.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSnav	-0.9765885562800488	-1.2286013385239514	LEMMAPATH2	NA	NA	LEMMAPATH	451	no	NA	NA	5000	nav	236	1	herroepen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav
herroepen.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSall	-0.6962192342580831	-0.9529868010619812	LEMMAPATH2	NA	NA	LEMMAPATH	451	no	NA	NA	FOC	all	236	1	herroepen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav
herroepen.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSnav	-0.6973778883589612	-1.0012932223457116	LEMMAPATH2	NA	NA	LEMMAPATH	451	no	NA	NA	FOC	nav	236	1	herroepen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav
herroepen.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSall	-0.6248983923454758	-0.9485242254218376	LEMMAPATH2	NA	NA	LEMMAPATH	290	selection	NA	NA	5000	all	236	1	herroepen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav
herroepen.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSnav	-0.6341314014768054	-0.9934754665194904	LEMMAPATH2	NA	NA	LEMMAPATH	290	selection	NA	NA	5000	nav	236	1	herroepen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav
herroepen.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSall	-0.4072617495789071	-0.7488161293107617	LEMMAPATH2	NA	NA	LEMMAPATH	290	selection	NA	NA	FOC	all	236	1	herroepen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav
herroepen.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSnav	-0.4093846198217704	-0.791868568131763	LEMMAPATH2	NA	NA	LEMMAPATH	290	selection	NA	NA	FOC	nav	236	1	herroepen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav
herroepen.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSall	-0.06082532861232876	-0.5128807093524792	LEMMAPATH2	NA	NA	LEMMAPATH	290	weight	NA	NA	5000	all	236	2	herroepen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
herroepen.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSnav	-0.05310892855820229	-0.5363560268526228	LEMMAPATH2	NA	NA	LEMMAPATH	290	weight	NA	NA	5000	nav	236	2	herroepen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
herroepen.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSall	0.01548525140820226	-0.5983210309709338	LEMMAPATH2	NA	NA	LEMMAPATH	290	weight	NA	NA	FOC	all	236	2	herroepen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
herroepen.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSnav	0.07226707544593684	-0.6732943850441037	LEMMAPATH2	NA	NA	LEMMAPATH	290	weight	NA	NA	FOC	nav	236	2	herroepen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
herroepen.LEMMAPATH3.PPMIno.LENGTH5000.SOCPOSall	-1.373720084699011	-1.03563151220225	LEMMAPATH3	NA	NA	LEMMAPATH	671	no	NA	NA	5000	all	225	1	herroepen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav
herroepen.LEMMAPATH3.PPMIno.LENGTH5000.SOCPOSnav	-1.3296605675828592	-1.0572677903755392	LEMMAPATH3	NA	NA	LEMMAPATH	671	no	NA	NA	5000	nav	225	1	herroepen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav
herroepen.LEMMAPATH3.PPMIno.LENGTHFOC.SOCPOSall	-1.0716075071380224	-0.7824414979815437	LEMMAPATH3	NA	NA	LEMMAPATH	671	no	NA	NA	FOC	all	225	1	herroepen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav
herroepen.LEMMAPATH3.PPMIno.LENGTHFOC.SOCPOSnav	-1.1223736386593548	-0.8324190507405725	LEMMAPATH3	NA	NA	LEMMAPATH	671	no	NA	NA	FOC	nav	225	1	herroepen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav
herroepen.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall	-0.8547611001422871	-0.6916732831227458	LEMMAPATH3	NA	NA	LEMMAPATH	374	selection	NA	NA	5000	all	225	1	herroepen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav
herroepen.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSnav	-0.8416984777519748	-0.7241435365313562	LEMMAPATH3	NA	NA	LEMMAPATH	374	selection	NA	NA	5000	nav	225	1	herroepen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav
herroepen.LEMMAPATH3.PPMIselection.LENGTHFOC.SOCPOSall	-0.5667993611895092	-0.5467454640270271	LEMMAPATH3	NA	NA	LEMMAPATH	374	selection	NA	NA	FOC	all	225	1	herroepen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav
herroepen.LEMMAPATH3.PPMIselection.LENGTHFOC.SOCPOSnav	-0.5778744470255687	-0.5793769190222721	LEMMAPATH3	NA	NA	LEMMAPATH	374	selection	NA	NA	FOC	nav	225	1	herroepen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav
herroepen.LEMMAPATH3.PPMIweight.LENGTH5000.SOCPOSall	-0.16448517940933957	-0.3086393896424867	LEMMAPATH3	NA	NA	LEMMAPATH	374	weight	NA	NA	5000	all	225	2	herroepen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
herroepen.LEMMAPATH3.PPMIweight.LENGTH5000.SOCPOSnav	-0.15050098950087898	-0.3386021889009552	LEMMAPATH3	NA	NA	LEMMAPATH	374	weight	NA	NA	5000	nav	225	2	herroepen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
herroepen.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall	-0.1256676142064267	-0.38027083106089954	LEMMAPATH3	NA	NA	LEMMAPATH	374	weight	NA	NA	FOC	all	225	2	herroepen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
herroepen.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSnav	-0.12060783311492695	-0.4065834679228801	LEMMAPATH3	NA	NA	LEMMAPATH	374	weight	NA	NA	FOC	nav	225	2	herroepen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
herroepen.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	-0.8968996630775927	-0.9916764003207948	LEMMAPATHweight	NA	NA	LEMMAPATH	671	no	NA	NA	5000	all	225	1	herroepen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav
herroepen.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	-0.8757816135936217	-1.0084409662333418	LEMMAPATHweight	NA	NA	LEMMAPATH	671	no	NA	NA	5000	nav	225	1	herroepen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav
