_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
herstructureren.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSall	-1.477342994963352	-0.1010928267758028	LEMMAPATH2	NA	NA	LEMMAPATH	358	no	NA	NA	5000	all	219	1	herstructureren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
herstructureren.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSnav	-1.499851260136768	-0.07081653732316245	LEMMAPATH2	NA	NA	LEMMAPATH	358	no	NA	NA	5000	nav	219	1	herstructureren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
herstructureren.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSall	-1.2138109797791563	-0.00255810518603861	LEMMAPATH2	NA	NA	LEMMAPATH	358	no	NA	NA	FOC	all	219	1	herstructureren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
herstructureren.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSnav	-1.199403447042426	0.02227269574807174	LEMMAPATH2	NA	NA	LEMMAPATH	358	no	NA	NA	FOC	nav	219	1	herstructureren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
herstructureren.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSall	-1.2164174043929026	0.04124784402037382	LEMMAPATH2	NA	NA	LEMMAPATH	258	selection	NA	NA	5000	all	217	1	herstructureren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
herstructureren.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSnav	-1.311695880836761	0.04804848797717693	LEMMAPATH2	NA	NA	LEMMAPATH	258	selection	NA	NA	5000	nav	217	1	herstructureren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
herstructureren.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSall	-0.9352587307259864	0.0984496562684676	LEMMAPATH2	NA	NA	LEMMAPATH	258	selection	NA	NA	FOC	all	217	1	herstructureren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
herstructureren.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSnav	-1.0634354269229556	0.1387138873243725	LEMMAPATH2	NA	NA	LEMMAPATH	258	selection	NA	NA	FOC	nav	217	1	herstructureren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
herstructureren.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSall	-0.8832904932719544	0.15993473243643863	LEMMAPATH2	NA	NA	LEMMAPATH	258	weight	NA	NA	5000	all	217	1	herstructureren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
herstructureren.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSnav	-0.979197366568358	0.18173825195831345	LEMMAPATH2	NA	NA	LEMMAPATH	258	weight	NA	NA	5000	nav	217	1	herstructureren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
herstructureren.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSall	-0.7354307468600634	0.24314177769056208	LEMMAPATH2	NA	NA	LEMMAPATH	258	weight	NA	NA	FOC	all	217	1	herstructureren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
herstructureren.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSnav	-0.8751440358540759	0.3159440460225711	LEMMAPATH2	NA	NA	LEMMAPATH	258	weight	NA	NA	FOC	nav	217	1	herstructureren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
herstructureren.LEMMAPATH3.PPMIno.LENGTH5000.SOCPOSall	-1.2680628745910811	-0.48595860096652055	LEMMAPATH3	NA	NA	LEMMAPATH	540	no	NA	NA	5000	all	212	1	herstructureren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
herstructureren.LEMMAPATH3.PPMIno.LENGTH5000.SOCPOSnav	-1.2879432522808292	-0.4490420807631236	LEMMAPATH3	NA	NA	LEMMAPATH	540	no	NA	NA	5000	nav	212	1	herstructureren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
herstructureren.LEMMAPATH3.PPMIno.LENGTHFOC.SOCPOSall	-0.9419101012223644	-0.43582004656069967	LEMMAPATH3	NA	NA	LEMMAPATH	540	no	NA	NA	FOC	all	212	1	herstructureren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
herstructureren.LEMMAPATH3.PPMIno.LENGTHFOC.SOCPOSnav	-0.9367207044885596	-0.4138331464696776	LEMMAPATH3	NA	NA	LEMMAPATH	540	no	NA	NA	FOC	nav	212	1	herstructureren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
herstructureren.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall	-0.9279352924357022	-0.27834133691311486	LEMMAPATH3	NA	NA	LEMMAPATH	350	selection	NA	NA	5000	all	212	1	herstructureren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
herstructureren.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSnav	-1.040379973828693	-0.26569683439680175	LEMMAPATH3	NA	NA	LEMMAPATH	350	selection	NA	NA	5000	nav	212	1	herstructureren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
herstructureren.LEMMAPATH3.PPMIselection.LENGTHFOC.SOCPOSall	-0.6474611636874208	-0.2106191739185533	LEMMAPATH3	NA	NA	LEMMAPATH	350	selection	NA	NA	FOC	all	212	1	herstructureren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
herstructureren.LEMMAPATH3.PPMIselection.LENGTHFOC.SOCPOSnav	-0.6741836246508057	-0.20392710866603023	LEMMAPATH3	NA	NA	LEMMAPATH	350	selection	NA	NA	FOC	nav	212	1	herstructureren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
herstructureren.LEMMAPATH3.PPMIweight.LENGTH5000.SOCPOSall	-0.4800781284587812	-0.06661527448635259	LEMMAPATH3	NA	NA	LEMMAPATH	350	weight	NA	NA	5000	all	212	1	herstructureren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
herstructureren.LEMMAPATH3.PPMIweight.LENGTH5000.SOCPOSnav	-0.5780515731240247	-0.08929604940109444	LEMMAPATH3	NA	NA	LEMMAPATH	350	weight	NA	NA	5000	nav	212	1	herstructureren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
herstructureren.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall	-0.3157076708579025	-0.00312532431164968	LEMMAPATH3	NA	NA	LEMMAPATH	350	weight	NA	NA	FOC	all	212	1	herstructureren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
herstructureren.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSnav	-0.35500785087773584	0.00861349269604915	LEMMAPATH3	NA	NA	LEMMAPATH	350	weight	NA	NA	FOC	nav	212	1	herstructureren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
