cw	pmi_4	raw_4	pmi_10	raw_10	freq
!/punct	-0.9735355	1.0	-0.7829767	3	142029
"""/punct"	-1.0474118	32.0	-0.726292	110	4844510
&/adj	7.2023044	1.0	6.3029823	1	41
&/name			-0.2180698	2	52896
&/punct	1.8826095	1.0	0.9785713	1	8058
&Degelo/name			9.943196	1	1
&the/name	7.8858514	1.0	6.9935083	1	20
'/name			3.4599364	1	662
'/punct	0.102243066	57.0	0.08851849	140	2720890
'68/noun			3.5958073	1	574
's/adv	-0.17369856	1.0	-1.0881773	1	62265
's/det	1.54862	1.0	0.6420652	1	11206
's/name			3.7933402	1	475
(/punct	-1.0617502	18.0	-0.6305373	68	2759129
)/punct	-0.98627836	19.0	-0.5922501	70	2758869
***/num			2.3704622	1	2003
*/tag			-0.9494553	2	117193
*Mythos/noun	10.862656	1.0	9.943196	1	1
,/name			-0.16985886	1	24958
,/punct	0.84645396	807.0	0.504978	1430	18092245
--/punct	-0.3668867	1.0	-0.55525327	2	75440
-/punct	0.4949545	33.0	0.15124048	58	1059446
-Wat/noun	5.8096	1.0	4.8901405	1	157
-grotendeels/noun			9.943196	1	1
-is/noun			4.566299	1	218
-letten/noun			9.943196	1	1
-zoals/noun			5.2135987	1	114
.../punct	-0.66957587	1.0	-0.47975922	3	103573
./name	2.8733072	1.0	1.9629505	1	3011
./punct	-0.10257549	479.0	-0.029711679	1286	28225482
//punct	0.15621696	1.0	1.0557752	6	45910
0-1/num			-0.021233264	1	21461
00-491805001824/num			9.943196	1	1
1,62/num	6.045403	1.0	5.1375375	1	124
1.3/num			4.029018	1	373
1.80/num			4.9664626	1	146
1/num			-1.7167687	1	118827
100/num			-0.71701026	1	43355
104/num			2.2515168	1	2228
11.00/noun			3.020651	1	1030
13,50/num			4.469456	1	245
14-12/name			7.052825	1	18
14/noun			-0.1596725	1	24865
14/num			-0.82185525	1	48120
142/num	3.675471	1.0	2.7682807	1	1330
15-12/name			6.245605	1	42
15/noun			-0.36132133	1	30549
16/num			-0.64364165	1	40303
17/num	0.32178813	1.0	-0.5873438	1	38139
1853/noun			4.5788574	1	217
1882-1963/noun	10.30304	1.0	9.473193	1	2
19,95/num	4.8061647	1.0	3.9087923	1	437
1901-1984/noun			8.844584	1	3
1913/noun			3.1030245	1	941
1919-63/num			9.943196	1	1
1926/noun			2.8969846	1	1161
1937/noun			3.1155403	2	1863
1942/noun			2.259908	1	2192
1948/noun	2.7570086	1.0	1.8442193	1	3325
1952/noun			2.136256	1	2487
1953/noun			1.9929584	1	2868
1954/noun			2.088059	1	2612
1961/noun			1.9216776	1	3082
1969/num			3.0438766	1	1011
1972/noun			1.4473087	1	4944
1973/noun			1.4190476	1	5091
1982/noun			1.1130117	1	6912
1983/noun			1.9286706	2	6105
1984/noun			1.1566329	1	6625
1991/noun			1.4438483	3	14872
1995/noun			-0.24490967	1	26842
1997/name	3.9207406	1.0	3.0083613	1	1037
1997/noun	1.0578359	2.0	0.14462651	2	36388
1998/noun			-0.8912999	1	51305
1999/noun			-0.97969776	1	56174
19de/num	2.5375922	1.0	1.6260409	1	4147
2-controller/name	10.862656	1.0	9.943196	1	1
2/num			-1.6663547	1	111933
20/num	-0.40564233	1.0	-0.62133074	2	78788
2000/noun			-1.0894051	1	62906
2000/num			1.0826513	2	14445
2001/noun			-0.9575441	1	55236
22/noun			0.14865367	1	18321
2206/num			8.333758	1	5
24-jarige/adj	2.432765	1.0	1.5279143	1	4636
24/noun			0.25698537	1	16437
25/num			-1.2098955	1	71011
27/noun			0.46480423	1	13389
27/num	0.6786382	1.0	-0.2301903	1	26724
28/num	0.66359705	1.0	-0.24524064	1	27077
29/noun			0.48480535	1	13107
3/5/num			5.53465	1	84
3/num			-1.5197242	1	96814
31/num			0.8313045	2	18484
33/num	1.0290543	1.0	0.12094341	1	18802
362/num			4.5516167	1	222
370.000/num	5.4218626	1.0	4.52001	1	232
4/noun			0.034306075	1	20560
4/num			-1.3718656	1	83383
45/num			-0.12063749	1	23856
47/num			0.67787564	1	10767
4x4/noun	4.429113	1.0	3.5237718	1	627
5/name			0.14495559	1	18524
5/num			-1.3308961	1	80145
504/name			7.2384853	1	15
56-jarige/adj			2.9281576	1	1153
56/num			0.7444582	1	10059
5_reeks/noun			6.485304	1	32
6/num			-0.39022028	2	62429
60/num	0.44168854	1.0	0.22441185	2	33710
61/num			1.0008597	1	7781
65/num			0.15699586	1	18043
7/num			-0.94545835	1	54496
700/num			1.1095443	1	7005
76/num			1.1288141	1	6821
8/noun	0.9443473	1.0	1.1366003	3	20423
82/num	2.0462472	1.0	1.1373867	1	6772
877-Soul/name			9.943196	1	1
93/num	2.6753218	1.0	1.7661724	1	3611
94-jarige/adj			4.604217	1	215
98/num			1.7512627	1	3657
:/punct	0.12424689	47.0	0.084104665	112	2182842
;/punct	-0.21893612	11.0	-0.23730573	27	715025
?/punct	-1.1403962	5.0	-1.0227436	14	826450
A/name			-0.5573994	1	37251
ALF/name			3.7632835	1	497
Aart_Jan/name			6.52547	1	32
Abel/name			3.0061252	1	1051
Accent/name			4.1566057	1	334
Adams/name			1.5363764	1	4556
Adriaansz/name			6.2543173	1	40
Adès/name	6.424426	1.0	5.507629	1	85
Afflecks/det	8.916745	1.0	8.004455	1	7
