_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
hoop.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSall	-1.297169539285454	-0.2084483812502621	LEMMAPATH2	NA	NA	LEMMAPATH	516	no	NA	NA	5000	all	309	1	hoop.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall
hoop.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSnav	-1.355938768618157	-0.1732246512908466	LEMMAPATH2	NA	NA	LEMMAPATH	516	no	NA	NA	5000	nav	309	1	hoop.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall
hoop.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSall	-0.9855896413005636	0.05336492387383997	LEMMAPATH2	NA	NA	LEMMAPATH	516	no	NA	NA	FOC	all	309	1	hoop.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall
hoop.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSnav	-1.0946518429405303	0.03701847473808426	LEMMAPATH2	NA	NA	LEMMAPATH	516	no	NA	NA	FOC	nav	309	1	hoop.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall
hoop.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSall	-1.227406891534487	0.0034385343394308	LEMMAPATH2	NA	NA	LEMMAPATH	295	selection	NA	NA	5000	all	309	1	hoop.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall
hoop.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSnav	-1.2829296922002729	0.00168500350655797	LEMMAPATH2	NA	NA	LEMMAPATH	295	selection	NA	NA	5000	nav	309	1	hoop.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall
hoop.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSall	-0.8457571877372374	0.38127375515381784	LEMMAPATH2	NA	NA	LEMMAPATH	295	selection	NA	NA	FOC	all	309	1	hoop.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall
hoop.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSnav	-1.001530089041705	0.31438483067430706	LEMMAPATH2	NA	NA	LEMMAPATH	295	selection	NA	NA	FOC	nav	309	1	hoop.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall
hoop.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSall	-0.9489328472226356	0.4629970608059979	LEMMAPATH2	NA	NA	LEMMAPATH	295	weight	NA	NA	5000	all	309	2	hoop.bound5-5all.PPMIweight.LENGTH5000.SOCPOSall
hoop.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSnav	-1.0671359559027502	0.4663737911105079	LEMMAPATH2	NA	NA	LEMMAPATH	295	weight	NA	NA	5000	nav	309	2	hoop.bound5-5all.PPMIweight.LENGTH5000.SOCPOSall
hoop.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSall	-0.6657909259812019	0.7771442983330357	LEMMAPATH2	NA	NA	LEMMAPATH	295	weight	NA	NA	FOC	all	309	2	hoop.bound5-5all.PPMIweight.LENGTH5000.SOCPOSall
hoop.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSnav	-0.7529901082201039	0.8440646691267117	LEMMAPATH2	NA	NA	LEMMAPATH	295	weight	NA	NA	FOC	nav	309	2	hoop.bound5-5all.PPMIweight.LENGTH5000.SOCPOSall
