_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
horde.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSall	-1.3361204516460128	-0.38282171785822944	LEMMAPATH2	NA	NA	LEMMAPATH	587	no	NA	NA	5000	all	277	1	horde.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav
horde.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSnav	-1.4118961999481063	-0.33762761554861503	LEMMAPATH2	NA	NA	LEMMAPATH	587	no	NA	NA	5000	nav	277	1	horde.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav
horde.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSall	-0.7735036085515586	-0.03977748281417608	LEMMAPATH2	NA	NA	LEMMAPATH	587	no	NA	NA	FOC	all	277	1	horde.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav
horde.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSnav	-0.8001946049637588	0.03331135893779309	LEMMAPATH2	NA	NA	LEMMAPATH	587	no	NA	NA	FOC	nav	277	1	horde.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav
horde.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSall	-0.9282241657000811	0.01004475881900214	LEMMAPATH2	NA	NA	LEMMAPATH	395	selection	NA	NA	5000	all	275	2	horde.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
horde.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSnav	-1.057870962020248	0.00639988358802219	LEMMAPATH2	NA	NA	LEMMAPATH	395	selection	NA	NA	5000	nav	275	2	horde.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
horde.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSall	-0.5637342090071121	0.187425917177694	LEMMAPATH2	NA	NA	LEMMAPATH	395	selection	NA	NA	FOC	all	275	3	horde.bound5-5all.PPMIselection.LENGTHFOC.SOCPOSall
horde.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSnav	-0.5784874787644201	0.23929291671209443	LEMMAPATH2	NA	NA	LEMMAPATH	395	selection	NA	NA	FOC	nav	275	3	horde.bound5-5all.PPMIselection.LENGTHFOC.SOCPOSall
horde.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSall	-0.2701417471880649	0.5820898741362845	LEMMAPATH2	NA	NA	LEMMAPATH	395	weight	NA	NA	5000	all	275	4	horde.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall
horde.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSnav	-0.34010726095475385	0.6379365408178816	LEMMAPATH2	NA	NA	LEMMAPATH	395	weight	NA	NA	5000	nav	275	4	horde.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall
horde.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSall	-0.17190434942919688	0.7150952072498382	LEMMAPATH2	NA	NA	LEMMAPATH	395	weight	NA	NA	FOC	all	275	4	horde.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall
horde.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSnav	-0.15703464553325658	0.7945811644065832	LEMMAPATH2	NA	NA	LEMMAPATH	395	weight	NA	NA	FOC	nav	275	4	horde.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall
horde.LEMMAPATH3.PPMIno.LENGTH5000.SOCPOSall	-1.1281682664136676	-1.1563748928551012	LEMMAPATH3	NA	NA	LEMMAPATH	936	no	NA	NA	5000	all	274	1	horde.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav
horde.LEMMAPATH3.PPMIno.LENGTH5000.SOCPOSnav	-1.238700664628334	-1.0411174669680925	LEMMAPATH3	NA	NA	LEMMAPATH	936	no	NA	NA	5000	nav	274	1	horde.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav
horde.LEMMAPATH3.PPMIno.LENGTHFOC.SOCPOSall	-0.6376816423011558	-0.7874146441998441	LEMMAPATH3	NA	NA	LEMMAPATH	936	no	NA	NA	FOC	all	274	1	horde.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav
horde.LEMMAPATH3.PPMIno.LENGTHFOC.SOCPOSnav	-0.6473649109378585	-0.6780028761978911	LEMMAPATH3	NA	NA	LEMMAPATH	936	no	NA	NA	FOC	nav	274	1	horde.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav
horde.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall	-0.7789807570022579	-0.4342304884970303	LEMMAPATH3	NA	NA	LEMMAPATH	536	selection	NA	NA	5000	all	274	1	horde.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav
horde.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSnav	-0.9439447116921676	-0.4419933617882002	LEMMAPATH3	NA	NA	LEMMAPATH	536	selection	NA	NA	5000	nav	274	1	horde.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav
horde.LEMMAPATH3.PPMIselection.LENGTHFOC.SOCPOSall	-0.33330671300982734	-0.1506112671303914	LEMMAPATH3	NA	NA	LEMMAPATH	536	selection	NA	NA	FOC	all	274	4	horde.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall
horde.LEMMAPATH3.PPMIselection.LENGTHFOC.SOCPOSnav	-0.34797605635258566	-0.10770294325979896	LEMMAPATH3	NA	NA	LEMMAPATH	536	selection	NA	NA	FOC	nav	274	4	horde.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall
horde.LEMMAPATH3.PPMIweight.LENGTH5000.SOCPOSall	-0.05650493077770188	0.308900052070869	LEMMAPATH3	NA	NA	LEMMAPATH	536	weight	NA	NA	5000	all	274	4	horde.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall
horde.LEMMAPATH3.PPMIweight.LENGTH5000.SOCPOSnav	-0.12433081336125192	0.38283712848910345	LEMMAPATH3	NA	NA	LEMMAPATH	536	weight	NA	NA	5000	nav	274	4	horde.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall
horde.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall	0.03326618431444109	0.3896942378908479	LEMMAPATH3	NA	NA	LEMMAPATH	536	weight	NA	NA	FOC	all	274	4	horde.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall
horde.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSnav	0.03024973283832311	0.45245816955553486	LEMMAPATH3	NA	NA	LEMMAPATH	536	weight	NA	NA	FOC	nav	274	4	horde.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall
horde.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	-1.1281682227135823	-1.156374842685624	LEMMAPATHweight	NA	NA	LEMMAPATH	936	no	NA	NA	5000	all	274	1	horde.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav
