pmi10	raw_co10	pmi4	raw_co4	raw_freq	cw
2.6479657	1	NA	NA	592	!!!/punct
-0.0010450588	17	-0.13662645	6	142029	!/punct
-0.39048037	399	-0.5407445	138	4844510	"""/punct"
-1.8638864	1	NA	NA	52896	&/name
3.8529656	1	4.758133	1	174	'/det
-0.17100373	280	-0.33131045	96	2720890	'/punct
8.2973795	1	NA	NA	2	'40-'44/num
4.0471005	1	NA	NA	141	'72/noun
3.828889	1	NA	NA	175	'81/noun
0.35704857	11	-0.029936709	3	62265	's/adv
1.2988337	5	0.59376955	1	11206	's/det
0.9937554	1	NA	NA	3006	(/noun
0.86296934	785	0.3025138	183	2759129	(/punct
1.255684	1	2.1660545	1	2313	)/noun
0.798259	729	0.87962335	319	2758869	)/punct
-1.9021248	2	NA	NA	117193	*/tag
0.4740108	3	0.2794621	1	15336	+/prep
6.2179384	1	NA	NA	16	+0,3/num
7.766752	1	NA	NA	4	+1,0/num
6.1661763	1	NA	NA	17	+1,4/num
-0.0624766	2102	-0.08391547	827	18092245	,/punct
-0.4093104	6	-0.62859	2	75440	--/punct
-0.18392698	2	0.7224751	2	19634	-/num
-0.06608139	121	-0.1277621	46	1059446	-/punct
5.8335266	1	6.7297516	1	24	-0,1/num
6.178117	1	7.081972	1	17	-0,8/num
8.990527	1	NA	NA	1	-0.9^m_s/noun
9.501352	1	10.195487	1	1	-110^m/noun
5.254049	1	NA	NA	44	-Feyenoord/name
8.990527	1	NA	NA	1	-huppelde/noun
4.253452	1	NA	NA	115	-niet/noun
8.990527	1	9.907805	1	1	-smeek/adj
3.3580616	1	NA	NA	283	-vrouw/noun
3.4608996	1	4.366542	1	256	-vrouwen/noun
-0.33381632	9	-0.23813197	4	103573	.../punct
-0.0063260384	3413	0.036303196	1430	28225482	./punct
0.2910457	2	NA	NA	13088	//name
-0.9955066	2	NA	NA	45910	//punct
3.3544884	1	NA	NA	285	0,35/num
1.2130697	1	NA	NA	2426	0,4/num
8.990527	4	9.907805	4	4	0,762^m/noun
8.990527	1	9.907805	1	1	0,838^m/noun
4.691882	2	5.605431	2	148	0,90/num
8.054434	1	8.942724	1	3	0,914/num
8.990527	2	9.907805	2	2	0,914^m/noun
0.014941178	1	0.925998	1	8010	0-3/num
3.3203013	1	NA	NA	297	000/num
2.0337436	1	NA	NA	1089	01/num
6.0408387	2	6.943822	2	40	02.10/num
5.7096157	1	NA	NA	29	02.20/num
6.5056205	1	NA	NA	12	02.55/num
1.2169536	1	NA	NA	2436	04/name
6.9110856	1	7.828364	1	8	0_meter/noun
8.990527	1	9.907805	1	1	1,067/num
8.990527	1	9.907805	1	1	1,067^m/noun
2.5928478	1	3.4974248	1	610	1,15/num
0.096920066	1	1.0017169	1	7412	1,2/num
0.51208514	1	NA	NA	4888	1,4/num
2.1705654	1	NA	NA	931	1,50/num
8.990527	1	NA	NA	1	1,54m/noun
3.224396	1	NA	NA	324	1,55/num
4.07677	1	4.9850907	1	138	1,61/num
4.184868	1	5.0905523	1	124	1,62/num
3.9490395	1	NA	NA	157	1,63/num
4.154642	1	5.059689	1	128	1,69/num
4.432973	1	NA	NA	97	1,71/num
4.1791563	1	NA	NA	124	1,79/num
3.592817	2	3.806926	1	448	1,85/num
4.3941455	2	NA	NA	202	1,86/num
7.1987677	1	NA	NA	6	1,87m/noun
4.3903694	1	5.305138	1	100	1,91/num
0.26859877	1	1.1787115	1	6250	1-2/noun
8.990527	1	NA	NA	1	1-3^maart/noun
1.1326402	1	NA	NA	2622	1./noun
3.6702166	227	3.859512	110	46650	1./num
-0.077661976	1	0.82892704	1	8825	1.000/num
8.990527	1	NA	NA	1	1.06.80/num
8.990527	1	9.907805	1	1	1.11.50/num
8.990527	1	9.907805	1	1	1.15.20/num
8.2973795	1	9.214658	1	2	1.44.59/num
2.1112888	7	NA	NA	6921	1.500/num
5.994795	1	NA	NA	20	1.500^meter/noun
3.2033231	1	NA	NA	329	1.500_meter/noun
7.891915	1	NA	NA	3	1.51.15/num
8.552272	1	NA	NA	2	1.600/name
-1.9166557	1	NA	NA	56531	1/name
-2.1311002	1	NA	NA	69141	1/noun
0.91408086	36	1.0074352	16	118827	1/num
4.897016	1	5.7989826	1	61	10,20/num
0.59305257	3	1.0929643	2	13558	10.000/num
5.8994846	1	NA	NA	22	10.000^m/noun
7.604233	1	NA	NA	4	10.11/name
8.990527	1	9.907805	1	1	10.14/name
5.69469	1	NA	NA	27	10.22/num
8.990527	1	9.907805	1	1	10.24.05/num
5.7716513	1	6.6889296	1	25	10.28/num
5.965236	1	NA	NA	21	10.29/num
5.5310607	1	NA	NA	32	10.31/num
5.020235	1	5.9281235	1	54	10.35/num
6.35147	1	NA	NA	14	10.44/num
3.3054178	1	4.2128115	1	298	10.45/noun
3.6820118	1	4.5964484	1	205	10.45/num
8.990527	1	9.907805	1	1	10.52.67/num
8.990527	1	NA	NA	1	10.61/name
6.7933025	1	7.710581	1	9	10.62/num
6.4294314	1	NA	NA	13	10.78/num
-0.9599108	1	NA	NA	21393	10/noun
-0.8044606	5	-0.8140665	2	91258	10/num
2.4229937	4	3.0444374	3	2878	100/noun
2.262146	51	2.4141545	24	43355	100/num
-0.021185486	1	NA	NA	8407	1000/num
6.521218	35	7.280122	30	416	100^m/noun
6.30353	4	6.920441	3	60	100^meter/noun
