pmi10	raw_co10	pmi4	raw_co4	raw_freq	cw
2.6621897	1	NA	NA	49	!!?/num
0.44765556	1	NA	NA	458	!./name
-1.3431988	7	-2.3910673	1	19257	!/name
-1.5466596	2	NA	NA	6683	!/noun
-0.6756556	99	-1.1531078	25	142029	!/punct
-0.37910837	4614	-0.47733843	1693	4844510	"""/punct"
2.352307	1	NA	NA	67	##Article##/noun
6.55401	1	NA	NA	1	$8,13/num
-0.611524	40	-2.7106397	2	52896	&/name
0.36226127	1	NA	NA	496	&/num
-0.80117726	5	NA	NA	8058	&/punct
4.1606708	1	NA	NA	11	&Newcastle/name
-0.49687475	2311	-0.6722995	786	2720890	'/punct
6.55401	1	NA	NA	1	'02_aanbod/noun
4.959686	2	NA	NA	10	'08/name
2.4325368	1	3.3171124	1	64	'19/name
5.1677155	1	NA	NA	4	'37/num
4.1561146	1	NA	NA	11	'38/num
0.62841827	2	NA	NA	756	'50/num
2.510959	1	NA	NA	57	'56/noun
2.840438	1	NA	NA	41	'67/name
3.609571	1	NA	NA	19	'68-ers/noun
0.20662087	1	NA	NA	574	'68/noun
2.2526515	2	2.4669955	1	148	'73/noun
0.5264246	4	0.0468525	1	1666	'80/num
1.2336867	1	NA	NA	205	'83/noun
1.1040452	1	2.0099554	1	234	'85/noun
0.61055475	1	NA	NA	383	'89/noun
0.74331826	1	1.6500771	1	336	'90/noun
0.004359333	2	NA	NA	1406	'90/num
2.3170092	1	NA	NA	71	'91/name
1.0323492	2	1.2471026	1	502	'91/noun
0.019276915	1	NA	NA	693	'92/noun
-0.69715756	1	0.20941119	1	1417	'96/noun
2.3873448	1	NA	NA	65	'97-'98/num
-0.205941	2	0.0071755615	1	1737	'97/noun
0.48797932	6	0.700804	3	2605	'98/noun
-1.2511384	1	-0.34599295	1	2518	'99/noun
-0.033815384	1	NA	NA	757	'99/num
6.55401	1	7.4642076	1	1	'adoptie'_netwerk/noun
6.55401	1	NA	NA	1	'bos'_blokje/noun
1.0834215	1	NA	NA	241	'n'/name
2.4521935	1	3.3533337	1	61	's-Gravendeel/name
-0.13355832	77	-0.52762425	21	62265	's/adv
-0.03907099	15	0.34739646	9	11206	's/det
0.6842895	1	1.5861218	1	358	't/adj
-0.044794098	24	-0.24608858	8	17963	't/name
1.607854	3	1.4062533	1	430	(/adj
-1.59898	1	NA	NA	3563	(/name
-0.34414932	3	0.15344863	2	3006	(/noun
-0.4719674	2362	-0.4508469	992	2759129	(/punct
0.19409025	1	1.0872681	1	593	(/tag
6.55401	1	NA	NA	1	(BEVER)Tot/name
6.55401	1	NA	NA	1	(beurs)fraudeonderzoek/noun
7.247157	1	NA	NA	1	(dpw)www.yadvashem.org/noun
-0.9208188	1	NA	NA	1772	)/name
-1.1808331	1	NA	NA	2313	)/noun
-0.4673357	2351	-0.5245509	902	2758869	)/punct
-0.6093301	3	-0.113650054	2	3950	)/tag
1.2918382	1	NA	NA	201	*****/num
-0.44232827	2	0.43257684	2	2286	*/name
1.0730044	448	1.3393825	249	117193	*/tag
5.8608627	1	NA	NA	2	*Bad/noun
0.35329807	1	NA	NA	497	*De/noun
6.55401	1	NA	NA	1	*Foto's/noun
1.381823	1	2.2887645	1	177	*Het/noun
3.0029569	1	3.9088595	1	35	*Inschrijven/noun
6.55401	1	NA	NA	1	*Jeux/noun
1.5147873	1	2.2492719	1	207	*Lees/noun
6.55401	1	7.4642076	1	1	*Speur/verb
6.55401	1	NA	NA	1	*delegué/noun
6.55401	1	NA	NA	1	*denkpiste/noun
-0.024789646	2	NA	NA	1471	+/name
-1.4516805	5	-2.1641355	1	15336	+/prep
1.406225	2	1.6174077	1	348	+1/num
5.8608627	1	NA	NA	2	+1600_cc/noun
3.2218056	1	NA	NA	28	,/adv
-1.4796038	8	NA	NA	24958	,/name
-0.20919208	20753	-0.33527207	7406	18092245	,/punct
0.25304082	1	NA	NA	552	--/name
0.09861154	114	-0.546459	25	75440	--/punct
6.55401	1	NA	NA	1	--Trainer/name
6.55401	1	7.4642076	1	1	--Wordt/noun
5.1677155	1	NA	NA	4	--of/noun
-2.3138824	5	-3.0254924	1	36107	-/name
-0.29078835	1105	-0.33157557	432	1059446	-/punct
5.6179166	1	NA	NA	3	-1,47%/num
5.886181	1	NA	NA	2	-1,81%/num
-0.041838743	1	NA	NA	736	-1/num
0.3250061	1	NA	NA	509	-2/num
1.0343508	1	NA	NA	252	-5/num
3.7876909	1	NA	NA	16	-AZ/name
5.4553976	1	6.3655953	1	3	-BOORTMEERBEEK/name
6.55401	1	7.4642076	1	1	-Baanwerkers/name
4.68993	1	NA	NA	7	-België/noun
5.4553976	1	NA	NA	3	-Bezoeker/noun
4.944572	1	5.8547697	1	5	-DIEST/name
-0.74996775	1	NA	NA	1530	-De/name
0.41552737	1	NA	NA	474	-De/noun
5.8608627	1	NA	NA	2	-Dus/noun
6.55401	1	NA	NA	1	-EEKLO/name
1.2538195	2	1.4566237	1	419	-Een/name
6.55401	1	NA	NA	1	-GENK/det
6.55401	1	NA	NA	1	-Galle/noun
4.1561146	1	5.0663123	1	11	-Geen/name
4.0242896	1	4.928529	1	13	-Het/det
5.8608627	1	NA	NA	2	-Hun/name
1.152234	1	NA	NA	230	-In/name
5.4553976	1	6.3655953	1	3	-JABBEKE/name
5.8608627	1	6.7710605	1	2	-LIEDEKERKE/name
5.8608627	1	NA	NA	2	-Langdurig/adj
6.55401	1	NA	NA	1	-Limburg/noun
6.55401	1	7.4642076	1	1	-MELSELE/name
2.1025739	1	NA	NA	88	-Met/name
1.9875808	1	NA	NA	98	-Minister/name
2.8853333	1	NA	NA	40	-Op/noun
6.55401	2	NA	NA	2	-Raemdonck/noun
2.40297	1	3.3131678	1	64	-Sportwereld/noun
6.55401	1	7.4642076	1	1	-TESSENdERLO/name
5.8608627	1	NA	NA	2	-Tweede_Kamerlid/noun
2.236522	1	3.1467195	1	75	-Van/noun
5.4553976	1	6.3655953	1	3	-ZEEBRUGGE/name
5.1677155	1	NA	NA	4	-Zeker/name
5.4553976	1	6.3655953	1	3	-bedrijfsleiders/noun
3.9329712	1	NA	NA	14	-beleid/noun
5.1677155	1	NA	NA	4	-broek/noun
1.1503197	2	NA	NA	447	-een/noun
-0.20245709	1	0.70090026	1	867	-en/noun
