_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
spot.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSall	-0.984792292545799	-0.5235235430973364	LEMMAPATH2	NA	NA	LEMMAPATH	342	no	NA	NA	5000	all	215	1	spot.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav
spot.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSnav	-0.9948257305087688	-0.4687151626309261	LEMMAPATH2	NA	NA	LEMMAPATH	342	no	NA	NA	5000	nav	215	1	spot.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav
spot.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSall	-0.7737002483166767	-0.20563360968234348	LEMMAPATH2	NA	NA	LEMMAPATH	342	no	NA	NA	FOC	all	215	2	spot.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
spot.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSnav	-0.809437073862537	-0.2041561137949116	LEMMAPATH2	NA	NA	LEMMAPATH	342	no	NA	NA	FOC	nav	215	2	spot.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
spot.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSall	-0.9929239042183292	-0.36068748120904526	LEMMAPATH2	NA	NA	LEMMAPATH	232	selection	NA	NA	5000	all	215	1	spot.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav
spot.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSnav	-1.0052792075816532	-0.34244572592630523	LEMMAPATH2	NA	NA	LEMMAPATH	232	selection	NA	NA	5000	nav	215	1	spot.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav
spot.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSall	-0.7676586133853113	-0.04110769417983576	LEMMAPATH2	NA	NA	LEMMAPATH	232	selection	NA	NA	FOC	all	215	2	spot.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
spot.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSnav	-0.8151943800129258	-0.0390657246276943	LEMMAPATH2	NA	NA	LEMMAPATH	232	selection	NA	NA	FOC	nav	215	2	spot.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
spot.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSall	-0.7066410454339997	0.5670711968456444	LEMMAPATH2	NA	NA	LEMMAPATH	232	weight	NA	NA	5000	all	215	3	spot.bound5-5all.PPMIweight.LENGTH5000.SOCPOSnav
spot.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSnav	-0.7064350425566847	0.5125504482068299	LEMMAPATH2	NA	NA	LEMMAPATH	232	weight	NA	NA	5000	nav	215	3	spot.bound5-5all.PPMIweight.LENGTH5000.SOCPOSnav
spot.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSall	-0.6199974745183119	0.6300677366444898	LEMMAPATH2	NA	NA	LEMMAPATH	232	weight	NA	NA	FOC	all	215	3	spot.bound5-5all.PPMIweight.LENGTH5000.SOCPOSnav
spot.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSnav	-0.630554039645983	0.686131505218661	LEMMAPATH2	NA	NA	LEMMAPATH	232	weight	NA	NA	FOC	nav	215	3	spot.bound5-5all.PPMIweight.LENGTH5000.SOCPOSnav
spot.LEMMAPATH3.PPMIno.LENGTH5000.SOCPOSall	-0.5346766389951031	-1.0248284278142057	LEMMAPATH3	NA	NA	LEMMAPATH	584	no	NA	NA	5000	all	201	2	spot.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
spot.LEMMAPATH3.PPMIno.LENGTH5000.SOCPOSnav	-0.5502901270468282	-0.9256491514126404	LEMMAPATH3	NA	NA	LEMMAPATH	584	no	NA	NA	5000	nav	201	2	spot.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
spot.LEMMAPATH3.PPMIno.LENGTHFOC.SOCPOSall	-0.2067164069527636	-0.6716483039836982	LEMMAPATH3	NA	NA	LEMMAPATH	584	no	NA	NA	FOC	all	201	2	spot.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
spot.LEMMAPATH3.PPMIno.LENGTHFOC.SOCPOSnav	-0.2451754406817148	-0.668410631055147	LEMMAPATH3	NA	NA	LEMMAPATH	584	no	NA	NA	FOC	nav	201	2	spot.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
spot.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall	-0.59315015003938	-0.6261285354328943	LEMMAPATH3	NA	NA	LEMMAPATH	351	selection	NA	NA	5000	all	201	2	spot.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
spot.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSnav	-0.6048982242637155	-0.6030795750482969	LEMMAPATH3	NA	NA	LEMMAPATH	351	selection	NA	NA	5000	nav	201	2	spot.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
spot.LEMMAPATH3.PPMIselection.LENGTHFOC.SOCPOSall	-0.26721181931299554	-0.2615907740855589	LEMMAPATH3	NA	NA	LEMMAPATH	351	selection	NA	NA	FOC	all	201	2	spot.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
spot.LEMMAPATH3.PPMIselection.LENGTHFOC.SOCPOSnav	-0.31383795300465606	-0.2742699589696448	LEMMAPATH3	NA	NA	LEMMAPATH	351	selection	NA	NA	FOC	nav	201	2	spot.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
spot.LEMMAPATH3.PPMIweight.LENGTH5000.SOCPOSall	-0.29855918477545	0.47381248248222546	LEMMAPATH3	NA	NA	LEMMAPATH	351	weight	NA	NA	5000	all	201	3	spot.bound5-5all.PPMIweight.LENGTH5000.SOCPOSnav
spot.LEMMAPATH3.PPMIweight.LENGTH5000.SOCPOSnav	-0.30225720307982484	0.4088455610353075	LEMMAPATH3	NA	NA	LEMMAPATH	351	weight	NA	NA	5000	nav	201	3	spot.bound5-5all.PPMIweight.LENGTH5000.SOCPOSnav
spot.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall	-0.16889179131937007	0.4377389551556849	LEMMAPATH3	NA	NA	LEMMAPATH	351	weight	NA	NA	FOC	all	201	2	spot.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
spot.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSnav	-0.17185511584063295	0.4815736601392314	LEMMAPATH3	NA	NA	LEMMAPATH	351	weight	NA	NA	FOC	nav	201	2	spot.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
spot.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	-0.93376156666297	-0.5447490885516736	LEMMAPATHweight	NA	NA	LEMMAPATH	584	no	NA	NA	5000	all	201	1	spot.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav
spot.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	-0.936637631808222	-0.4970964656946421	LEMMAPATHweight	NA	NA	LEMMAPATH	584	no	NA	NA	5000	nav	201	1	spot.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav
spot.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	-0.6103329465237283	-0.226350711412697	LEMMAPATHweight	NA	NA	LEMMAPATH	584	no	NA	NA	FOC	all	201	2	spot.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
spot.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	-0.6367196812200061	-0.23235794326253817	LEMMAPATHweight	NA	NA	LEMMAPATH	584	no	NA	NA	FOC	nav	201	2	spot.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
spot.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	-0.5931501571768281	-0.626128512364321	LEMMAPATHweight	NA	NA	LEMMAPATH	351	selection	NA	NA	5000	all	201	2	spot.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
spot.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	-0.6048982402637213	-0.6030795442939518	LEMMAPATHweight	NA	NA	LEMMAPATH	351	selection	NA	NA	5000	nav	201	2	spot.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
spot.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	-0.2672118513565652	-0.2615913716750321	LEMMAPATHweight	NA	NA	LEMMAPATH	351	selection	NA	NA	FOC	all	201	2	spot.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
spot.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	-0.3138379530228234	-0.27426995880631305	LEMMAPATHweight	NA	NA	LEMMAPATH	351	selection	NA	NA	FOC	nav	201	2	spot.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
spot.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall	-0.2985591916306119	0.47381243816569424	LEMMAPATHweight	NA	NA	LEMMAPATH	351	weight	NA	NA	5000	all	201	3	spot.bound5-5all.PPMIweight.LENGTH5000.SOCPOSnav
spot.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSnav	-0.30225720281697416	0.4088455648219684	LEMMAPATHweight	NA	NA	LEMMAPATH	351	weight	NA	NA	5000	nav	201	3	spot.bound5-5all.PPMIweight.LENGTH5000.SOCPOSnav
spot.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSall	-0.16889179156256914	0.4377389571594891	LEMMAPATHweight	NA	NA	LEMMAPATH	351	weight	NA	NA	FOC	all	201	2	spot.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
spot.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSnav	-0.17185511843093654	0.4815736461288547	LEMMAPATHweight	NA	NA	LEMMAPATH	351	weight	NA	NA	FOC	nav	201	2	spot.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
spot.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall	-1.3290982664829774	-0.18105878260085723	NA	LEMMAREL1	NA	LEMMAREL	103	no	NA	NA	5000	all	198	1	spot.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav
spot.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	-1.462223578378437	-0.15115424466596064	NA	LEMMAREL1	NA	LEMMAREL	103	no	NA	NA	5000	nav	198	1	spot.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav
spot.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSall	-1.518495556484371	0.09330994944925115	NA	LEMMAREL1	NA	LEMMAREL	103	no	NA	NA	FOC	all	198	1	spot.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav
spot.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	-1.5487219240717136	0.1704045041702539	NA	LEMMAREL1	NA	LEMMAREL	103	no	NA	NA	FOC	nav	198	1	spot.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav
spot.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	-1.2778321580127567	-0.12888236677520956	NA	LEMMAREL1	NA	LEMMAREL	78	selection	NA	NA	5000	all	195	1	spot.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav
spot.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	-1.42196436773211	-0.10522485985326564	NA	LEMMAREL1	NA	LEMMAREL	78	selection	NA	NA	5000	nav	195	1	spot.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav
spot.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	-1.4959375078671613	0.1373426442800884	NA	LEMMAREL1	NA	LEMMAREL	78	selection	NA	NA	FOC	all	195	1	spot.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav
spot.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	-1.559383939259834	0.18332229905362749	NA	LEMMAREL1	NA	LEMMAREL	78	selection	NA	NA	FOC	nav	195	1	spot.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav
spot.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	-1.3454494129601686	0.4275267879914485	NA	LEMMAREL1	NA	LEMMAREL	78	weight	NA	NA	5000	all	195	1	spot.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav
spot.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	-1.347183308205239	0.3965278630746128	NA	LEMMAREL1	NA	LEMMAREL	78	weight	NA	NA	5000	nav	195	1	spot.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav
spot.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	-1.5306848067214514	0.5855746507856426	NA	LEMMAREL1	NA	LEMMAREL	78	weight	NA	NA	FOC	all	195	1	spot.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav
spot.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	-1.3950773150954576	0.6418334196860849	NA	LEMMAREL1	NA	LEMMAREL	78	weight	NA	NA	FOC	nav	195	1	spot.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav
spot.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	-1.415648123335723	-0.1947770968607651	NA	LEMMAREL2	NA	LEMMAREL	209	no	NA	NA	5000	all	212	1	spot.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav
spot.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	-1.5030477240896756	-0.1654506583390881	NA	LEMMAREL2	NA	LEMMAREL	209	no	NA	NA	5000	nav	212	1	spot.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav
spot.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	-1.2740982527875242	0.15574999148837065	NA	LEMMAREL2	NA	LEMMAREL	209	no	NA	NA	FOC	all	212	1	spot.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav
spot.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	-1.268012059413937	0.15030308250177132	NA	LEMMAREL2	NA	LEMMAREL	209	no	NA	NA	FOC	nav	212	1	spot.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav
spot.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	-1.3403096256342988	-0.07192480796382901	NA	LEMMAREL2	NA	LEMMAREL	162	selection	NA	NA	5000	all	209	1	spot.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav
