_model	LEMMAPATH	LEMMAREL	base	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	model.x	model.y	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	stress	tokens	type
blik.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	528	lex	10_10	1	weight	NA	NA	5000	5000	nav	4_4	NA	265	blik
blik.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	528	lex	10_10	1	weight	NA	NA	5000	5000	all	4_4	NA	265	blik
blik.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	528	lex	10_10	1	weight	NA	NA	FOC	368	nav	4_4	NA	265	blik
blik.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	528	lex	10_10	1	weight	NA	NA	FOC	528	all	4_4	NA	265	blik
blik.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	528	lex	10_10	1	selection	NA	NA	5000	5000	nav	4_4	NA	265	blik
blik.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	528	lex	10_10	1	selection	NA	NA	5000	5000	all	4_4	NA	265	blik
blik.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	528	lex	10_10	1	selection	NA	NA	FOC	368	nav	4_4	NA	265	blik
blik.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	528	lex	10_10	1	selection	NA	NA	FOC	528	all	4_4	NA	265	blik
blik.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	977	lex	10_10	1	no	NA	NA	5000	5000	nav	4_4	NA	275	blik
blik.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	977	lex	10_10	1	no	NA	NA	5000	5000	all	4_4	NA	275	blik
blik.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	977	lex	10_10	1	no	NA	NA	FOC	706	nav	4_4	NA	275	blik
blik.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	977	lex	10_10	1	no	NA	NA	FOC	977	all	4_4	NA	275	blik
blik.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	643	all	10_10	1	weight	NA	NA	5000	5000	nav	4_4	NA	276	blik
blik.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	643	all	10_10	1	weight	NA	NA	5000	5000	all	4_4	NA	276	blik
blik.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	643	all	10_10	1	weight	NA	NA	FOC	368	nav	4_4	NA	276	blik
blik.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	643	all	10_10	1	weight	NA	NA	FOC	643	all	4_4	NA	276	blik
blik.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	643	all	10_10	1	selection	NA	NA	5000	5000	nav	4_4	NA	276	blik
blik.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	643	all	10_10	1	selection	NA	NA	5000	5000	all	4_4	NA	276	blik
blik.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	643	all	10_10	1	selection	NA	NA	FOC	368	nav	4_4	NA	276	blik
blik.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	643	all	10_10	1	selection	NA	NA	FOC	643	all	4_4	NA	276	blik
