pmi10	raw_co10_x	pmi4	raw_co10_y	raw_freq	cw
-1.0449408	2	-0.8328029	1.0	142029	!/punct
-0.3706165	136	-0.34706342	56.0	4844510	"""/punct"
-0.767716	1			52896	&/name
0.07786881	120	0.22527608	56.0	2720890	'/punct
2.8355298	1	3.748592	1.0	1417	'96/noun
2.6335993	1			1737	'97/noun
2.2289073	1			2605	'98/noun
0.44161806	4	1.0656463	3.0	62265	's/adv
0.029654484	114	-0.050189197	43.0	2759129	(/punct
0.021254538	112	0.12203828	50.0	2758869	)/punct
-0.047469333	713	0.15749405	352.0	18092245	,/punct
-0.3984057	29	-0.15277025	15.0	1059446	-/punct
1.5298414	1			5416	../punct
0.08379496	1248	0.23806836	585.0	28225482	./punct
0.6940689	1	1.5622141	1.0	13088	//name
2.049487	15	1.3532271	3.0	46650	1./num
1.0185084	1	1.9245101	1.0	8825	1.000/num
8.81975	1			4	1.05.15/num
8.700403	1	9.617094	1.0	4	1.08.19/num
3.0533085	6			6921	1.500/num
-1.0349298	1	-0.13437264	1.0	69141	1/noun
-0.18697335	4			118827	1/num
5.7772417	1			76	10.15/num
7.213133	1			18	10.36/num
7.2623467	1			17	10.750/num
0.29170984	5	0.9746637	4.0	91258	10/num
4.0787797	7	4.1400204	3.0	2878	100/noun
1.3724009	7	1.024831	2.0	43355	100/num
2.173597	3			8407	1000/num
4.06204	1	4.974508	1.0	416	100^m/noun
3.525384	1			717	100_meter/noun
2.3950179	1			2228	104/num
-0.40802076	1	0.4955951	1.0	36830	11/noun
0.18357126	2	0.3969178	1.0	40771	11/num
10.086698	1	11.003388	1.0	1	110$^m/noun
9.39355	1			2	110-111/name
4.032963	1	4.9378605	1.0	432	110/noun
2.7356036	1			1595	12de/num
2.7762475	1			1526	14.000/num
-0.6783542	1			48120	14/num
-1.0068604	1	-0.10019574	1.0	66844	15/num
0.091047905	1			22300	150/num
3.9349556	13	2.9690409	2.0	6208	1500/num
-0.13595262	1			28146	18/noun
3.3344855	1	4.236189	1.0	872	1903/noun
3.518409	1			720	1904/noun
3.1134822	1	4.0243597	1.0	1078	1912/noun
3.175	2	3.3914223	1.0	2030	1936/noun
2.565894	1			1863	1937/noun
1.6085155	1	2.518925	1.0	4856	1945/noun
2.1437845	1			2850	1947/noun
2.23156	1	3.140891	1.0	2612	1954/noun
2.2581615	1			2543	1957/noun
1.7026243	1			4419	1968/noun
1.155271	1			7640	1986/noun
4.2932267	1	5.2020254	1.0	331	1988/name
0.931928	1			9548	1988/noun
0.38288724	1	1.293698	1.0	16536	1992/noun
1.0530496	2			16911	1993/noun
0.032002885	1			23494	1994/noun
0.9972036	3			26842	1995/noun
-0.20524123	1	0.7053029	1.0	29771	1996/noun
1.7922049	9	2.1148593	5.0	36388	1997/noun
-0.054651756	2	0.16218622	1.0	51305	1998/noun
-0.8361968	1			56174	1999/noun
9.39355	1			2	1:08.19/num
6.162746	1			52	1_coureur/noun
2.9650714	4	3.165316	2.0	5194	1ste/num
10.086698	1			1	1u27.47/noun
9.39355	1	10.310241	1.0	2	1u28.54/noun
1.2508615	1			7000	2.000/num
7.0859776	1			21	2.16/num
10.086698	1			1	2.19.587/num
10.086698	1			1	2.33.20/num
-0.82970643	2	0.07769946	2.0	111933	2/num
1.764595	1	2.6681368	1.0	4209	20-jarige/adj
-0.46720847	1	0.43493772	1.0	39184	20/noun
-1.170977	1			78788	20/num
2.6621444	1	3.569648	1.0	1695	200/noun
2.1370044	10	2.3494377	5.0	28826	200/num
-0.2527569	2	-0.03900333	1.0	62906	2000/noun
3.4907122	1	4.399614	1.0	740	200_meter/noun
