_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type
gekleurd.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.6748079837728543	-0.37892964982901967	NA	NA	BOW	bound	701	lex	10_10	1	weight	5000	5000	nav	4_4	271	gekleurd
gekleurd.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	0.1830182660900639	-1.2876756543070955	NA	NA	BOW	bound	701	lex	10_10	1	weight	5000	5000	all	4_4	271	gekleurd
gekleurd.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.8653529270156219	-0.09891590128867796	NA	NA	BOW	bound	701	lex	10_10	1	weight	FOC	536	nav	4_4	271	gekleurd
gekleurd.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.8361088762333473	-0.10244768125362035	NA	NA	BOW	bound	701	lex	10_10	1	weight	FOC	701	all	4_4	271	gekleurd
gekleurd.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.7816738223621801	-0.45985738593962877	NA	NA	BOW	bound	701	lex	10_10	1	selection	5000	5000	nav	4_4	271	gekleurd
gekleurd.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	0.19511109802845414	-1.5165834060192844	NA	NA	BOW	bound	701	lex	10_10	1	selection	5000	5000	all	4_4	271	gekleurd
gekleurd.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.9590469650993889	-0.04974467135646784	NA	NA	BOW	bound	701	lex	10_10	1	selection	FOC	536	nav	4_4	271	gekleurd
gekleurd.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.9117678644441434	-0.055443857143783984	NA	NA	BOW	bound	701	lex	10_10	1	selection	FOC	701	all	4_4	271	gekleurd
gekleurd.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-1.1089088127332227	-0.622955253933098	NA	NA	BOW	bound	1142	lex	10_10	1	no	5000	5000	nav	4_4	275	gekleurd
gekleurd.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	0.615629231282316	-2.0891509333248974	NA	NA	BOW	bound	1142	lex	10_10	1	no	5000	5000	all	4_4	275	gekleurd
gekleurd.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.2135991247562887	0.026363772995619483	NA	NA	BOW	bound	1142	lex	10_10	1	no	FOC	857	nav	4_4	275	gekleurd
