_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base	base
haten.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-1.3240698740968586	0.08728342341048716	NA	NA	bound	310	lex	10_10	1	weight	5000	5000	nav	4_4	210	haten	NA	NA	BOW
haten.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-1.3186096001895438	-0.778460324163909	NA	NA	bound	310	lex	10_10	1	weight	5000	5000	all	4_4	210	haten	NA	NA	BOW
haten.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-1.2724057270391316	0.6655614434878342	NA	NA	bound	310	lex	10_10	1	weight	FOC	234	nav	4_4	210	haten	NA	NA	BOW
haten.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-1.2414776048825311	0.614818710167118	NA	NA	bound	310	lex	10_10	1	weight	FOC	310	all	4_4	210	haten	NA	NA	BOW
haten.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-1.4325895574479028	-0.08017042584156675	NA	NA	bound	310	lex	10_10	1	selection	5000	5000	nav	4_4	210	haten	NA	NA	BOW
haten.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-1.4121529377340318	-0.8165790317846903	NA	NA	bound	310	lex	10_10	1	selection	5000	5000	all	4_4	210	haten	NA	NA	BOW
haten.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-1.2986442437292585	0.45291507244747775	NA	NA	bound	310	lex	10_10	1	selection	FOC	234	nav	4_4	210	haten	NA	NA	BOW
haten.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-1.2933135035936965	0.42025455398760064	NA	NA	bound	310	lex	10_10	1	selection	FOC	310	all	4_4	210	haten	NA	NA	BOW
haten.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-1.5318377043127738	-0.05744646212963746	NA	NA	bound	600	lex	10_10	1	no	5000	5000	nav	4_4	216	haten	NA	NA	BOW
haten.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-1.5163760035193412	-1.0901114129485778	NA	NA	bound	600	lex	10_10	1	no	5000	5000	all	4_4	216	haten	NA	NA	BOW
haten.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.2151465367110836	0.7413532954129609	NA	NA	bound	600	lex	10_10	1	no	FOC	458	nav	4_4	216	haten	NA	NA	BOW
