_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base	base
heffen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.0296044866944281	-0.2136172511197841	NA	NA	bound	366	lex	10_10	1	weight	5000	5000	nav	4_4	217	heffen	NA	NA	BOW
heffen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	0.024077633335797773	-0.6771871463807771	NA	NA	bound	366	lex	10_10	1	weight	5000	5000	all	4_4	217	heffen	NA	NA	BOW
heffen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.03687455396608414	-0.18061577148006486	NA	NA	bound	366	lex	10_10	1	weight	FOC	253	nav	4_4	217	heffen	NA	NA	BOW
heffen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.028304932223597114	-0.19889404001721142	NA	NA	bound	366	lex	10_10	1	weight	FOC	366	all	4_4	217	heffen	NA	NA	BOW
heffen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.17441489816275482	-0.3653142576088877	NA	NA	bound	366	lex	10_10	1	selection	5000	5000	nav	4_4	217	heffen	NA	NA	BOW
heffen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.13008095532454436	-0.8673300344495544	NA	NA	bound	366	lex	10_10	1	selection	5000	5000	all	4_4	217	heffen	NA	NA	BOW
heffen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.0930860776356782	-0.21025024994159858	NA	NA	bound	366	lex	10_10	1	selection	FOC	253	nav	4_4	217	heffen	NA	NA	BOW
heffen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.09069933362192042	-0.22933348482973423	NA	NA	bound	366	lex	10_10	1	selection	FOC	366	all	4_4	217	heffen	NA	NA	BOW
heffen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.5544406405015366	-0.4105471133470251	NA	NA	bound	718	lex	10_10	1	no	5000	5000	nav	4_4	218	heffen	NA	NA	BOW
heffen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.7055326069724237	-1.2103798465007467	NA	NA	bound	718	lex	10_10	1	no	5000	5000	all	4_4	218	heffen	NA	NA	BOW
heffen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.3881217602595741	-0.2987160184964286	NA	NA	bound	718	lex	10_10	1	no	FOC	502	nav	4_4	218	heffen	NA	NA	BOW
heffen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.38506845152737923	-0.3076844925143115	NA	NA	bound	718	lex	10_10	1	no	FOC	718	all	4_4	218	heffen	NA	NA	BOW
heffen.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.10931790858158569	-0.09393039966756475	NA	NA	bound	475	all	10_10	1	weight	5000	5000	nav	4_4	218	heffen	NA	NA	BOW
heffen.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.08433132201986612	-0.6626631395089941	NA	NA	bound	475	all	10_10	1	weight	5000	5000	all	4_4	218	heffen	NA	NA	BOW
heffen.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.07957413389521946	-0.10279541590129095	NA	NA	bound	475	all	10_10	1	weight	FOC	253	nav	4_4	218	heffen	NA	NA	BOW
heffen.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.08203760350852139	-0.1167442477852127	NA	NA	bound	475	all	10_10	1	weight	FOC	475	all	4_4	218	heffen	NA	NA	BOW
heffen.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	-0.6602518111144298	0.21360526246397626	NA	NA	bound	475	all	10_10	1	selection	5000	5000	nav	4_4	218	heffen	NA	NA	BOW
heffen.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	-0.7807428152277105	-0.3356731463484521	NA	NA	bound	475	all	10_10	1	selection	5000	5000	all	4_4	218	heffen	NA	NA	BOW
heffen.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.25639264446731536	-0.002227282792920127	NA	NA	bound	475	all	10_10	1	selection	FOC	253	nav	4_4	218	heffen	NA	NA	BOW
heffen.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.273228376702717	-0.007300210099620805	NA	NA	bound	475	all	10_10	1	selection	FOC	475	all	4_4	218	heffen	NA	NA	BOW
heffen.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	-1.074349417356963	0.28624189949753187	NA	NA	bound	960	all	10_10	1	no	5000	5000	nav	4_4	218	heffen	NA	NA	BOW
heffen.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	-1.7136646845476733	-0.0082235842113539109	NA	NA	bound	960	all	10_10	1	no	5000	5000	all	4_4	218	heffen	NA	NA	BOW
heffen.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.6974078653378258	0.02742975559125776	NA	NA	bound	960	all	10_10	1	no	FOC	502	nav	4_4	218	heffen	NA	NA	BOW
heffen.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.7578243413550867	0.02280997134876778	NA	NA	bound	960	all	10_10	1	no	FOC	960	all	4_4	218	heffen	NA	NA	BOW
heffen.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	0.16800672749056147	-0.22672725369288108	NA	NA	bound	279	lex	5_5	1	weight	5000	5000	nav	4_4	216	heffen	NA	NA	BOW
heffen.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	0.3421104664723427	-0.6503892231658626	NA	NA	bound	279	lex	5_5	1	weight	5000	5000	all	4_4	216	heffen	NA	NA	BOW
heffen.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	0.1368891209654456	-0.19593989667330675	NA	NA	bound	279	lex	5_5	1	weight	FOC	194	nav	4_4	216	heffen	NA	NA	BOW
heffen.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	0.14180103188143608	-0.20174407997796032	NA	NA	bound	279	lex	5_5	1	weight	FOC	279	all	4_4	216	heffen	NA	NA	BOW
heffen.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	0.18509351203013705	-0.358614871803873	NA	NA	bound	279	lex	5_5	1	selection	5000	5000	nav	4_4	216	heffen	NA	NA	BOW
heffen.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	0.33128771148769054	-0.7700705208427694	NA	NA	bound	279	lex	5_5	1	selection	5000	5000	all	4_4	216	heffen	NA	NA	BOW
heffen.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.12294185883223444	-0.21614118467940027	NA	NA	bound	279	lex	5_5	1	selection	FOC	194	nav	4_4	216	heffen	NA	NA	BOW
heffen.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	0.11456776766550948	-0.22228338791410437	NA	NA	bound	279	lex	5_5	1	selection	FOC	279	all	4_4	216	heffen	NA	NA	BOW
heffen.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	0.0886109731362737	-0.46756545466612115	NA	NA	bound	433	lex	5_5	1	no	5000	5000	nav	4_4	218	heffen	NA	NA	BOW
heffen.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	0.23644680464454448	-0.9988857201931977	NA	NA	bound	433	lex	5_5	1	no	5000	5000	all	4_4	218	heffen	NA	NA	BOW
heffen.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	0.07504375945273167	-0.29407785471441633	NA	NA	bound	433	lex	5_5	1	no	FOC	315	nav	4_4	218	heffen	NA	NA	BOW
heffen.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	0.0636986021875034	-0.2802223905594619	NA	NA	bound	433	lex	5_5	1	no	FOC	433	all	4_4	218	heffen	NA	NA	BOW
heffen.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	0.09734945492372593	-0.0842359139789277	NA	NA	bound	361	all	5_5	1	weight	5000	5000	nav	4_4	217	heffen	NA	NA	BOW
heffen.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	0.29600468428919113	-0.6347523445693276	NA	NA	bound	361	all	5_5	1	weight	5000	5000	all	4_4	217	heffen	NA	NA	BOW
heffen.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	0.08971364404523906	-0.10620804228685571	NA	NA	bound	361	all	5_5	1	weight	FOC	194	nav	4_4	217	heffen	NA	NA	BOW
heffen.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	0.07558861767011878	-0.1139131550044921	NA	NA	bound	361	all	5_5	1	weight	FOC	361	all	4_4	217	heffen	NA	NA	BOW
heffen.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	-0.42126661401785803	0.1911277786882124	NA	NA	bound	361	all	5_5	1	selection	5000	5000	nav	4_4	217	heffen	NA	NA	BOW
heffen.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	0.09248411887399122	-0.7698512774388488	NA	NA	bound	361	all	5_5	1	selection	5000	5000	all	4_4	217	heffen	NA	NA	BOW
heffen.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.02069422612761849	-0.010210796017442889	NA	NA	bound	361	all	5_5	1	selection	FOC	194	nav	4_4	217	heffen	NA	NA	BOW
heffen.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	-0.04430827073865201	-0.010630763637843576	NA	NA	bound	361	all	5_5	1	selection	FOC	361	all	4_4	217	heffen	NA	NA	BOW
heffen.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	-0.6855270505594308	0.2835102414231594	NA	NA	bound	580	all	5_5	1	no	5000	5000	nav	4_4	218	heffen	NA	NA	BOW
heffen.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	-1.1579859969911792	-0.3182339775594974	NA	NA	bound	580	all	5_5	1	no	5000	5000	all	4_4	218	heffen	NA	NA	BOW
heffen.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	-0.2656630214106187	0.04995027204344757	NA	NA	bound	580	all	5_5	1	no	FOC	315	nav	4_4	218	heffen	NA	NA	BOW
heffen.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	-0.29223208075836554	0.05727328816801904	NA	NA	bound	580	all	5_5	1	no	FOC	580	all	4_4	218	heffen	NA	NA	BOW
heffen.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	0.48040335806314977	-0.10854345026867282	NA	NA	bound	202	lex	3_3	1	weight	5000	5000	nav	4_4	204	heffen	NA	NA	BOW
heffen.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	0.8130996248865688	-0.39053056604653713	NA	NA	bound	202	lex	3_3	1	weight	5000	5000	all	4_4	204	heffen	NA	NA	BOW
heffen.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	0.3964042681082795	-0.061973346283084825	NA	NA	bound	202	lex	3_3	1	weight	FOC	136	nav	4_4	204	heffen	NA	NA	BOW
heffen.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	0.3913673085699636	-0.07149425052996693	NA	NA	bound	202	lex	3_3	1	weight	FOC	202	all	4_4	204	heffen	NA	NA	BOW
heffen.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	0.5245234832348784	-0.15554536559884766	NA	NA	bound	202	lex	3_3	1	selection	5000	5000	nav	4_4	204	heffen	NA	NA	BOW
heffen.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	0.8247344797390628	-0.42189121875931423	NA	NA	bound	202	lex	3_3	1	selection	5000	5000	all	4_4	204	heffen	NA	NA	BOW
