_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base	base
herstellen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.775298862889857	0.10295160219074148	NA	NA	bound	362	lex	10_10	1	weight	5000	5000	nav	4_4	234	herstellen	NA	NA	BOW
herstellen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-1.1422243910044334	-0.025851177809677425	NA	NA	bound	362	lex	10_10	1	weight	5000	5000	all	4_4	234	herstellen	NA	NA	BOW
herstellen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.6331590201932309	0.23809175612198694	NA	NA	bound	362	lex	10_10	1	weight	FOC	248	nav	4_4	234	herstellen	NA	NA	BOW
herstellen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.6384891105940443	0.23177505123037082	NA	NA	bound	362	lex	10_10	1	weight	FOC	362	all	4_4	234	herstellen	NA	NA	BOW
herstellen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.8657556304160486	0.42698418330868754	NA	NA	bound	362	lex	10_10	1	selection	5000	5000	nav	4_4	234	herstellen	NA	NA	BOW
herstellen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-1.0223741412822906	0.5117509749428816	NA	NA	bound	362	lex	10_10	1	selection	5000	5000	all	4_4	234	herstellen	NA	NA	BOW
herstellen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.6493319762985338	0.3883543431454159	NA	NA	bound	362	lex	10_10	1	selection	FOC	248	nav	4_4	234	herstellen	NA	NA	BOW
herstellen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.6555493471348064	0.4056490282546948	NA	NA	bound	362	lex	10_10	1	selection	FOC	362	all	4_4	234	herstellen	NA	NA	BOW
herstellen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-1.0145751974358443	0.7787199281777841	NA	NA	bound	750	lex	10_10	1	no	5000	5000	nav	4_4	238	herstellen	NA	NA	BOW
herstellen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-1.0977282854111476	1.31519772864533	NA	NA	bound	750	lex	10_10	1	no	5000	5000	all	4_4	238	herstellen	NA	NA	BOW
herstellen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.80480318832308	0.7608228661930265	NA	NA	bound	750	lex	10_10	1	no	FOC	541	nav	4_4	238	herstellen	NA	NA	BOW
herstellen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.8012260444503008	0.7650492518048982	NA	NA	bound	750	lex	10_10	1	no	FOC	750	all	4_4	238	herstellen	NA	NA	BOW
herstellen.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.11404937100488009	0.1902072280582484	NA	NA	bound	490	all	10_10	1	weight	5000	5000	nav	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.15394642530032313	0.7164903122825773	NA	NA	bound	490	all	10_10	1	weight	5000	5000	all	4_4	239	herstellen	NA	NA	BOW
