_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type
hoekig.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav					BOW	bound	610	lex	10_10	1	weight	5000	5000	nav	4_4	262	hoekig
hoekig.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall					BOW	bound	610	lex	10_10	1	weight	5000	5000	all	4_4	262	hoekig
hoekig.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav					BOW	bound	610	lex	10_10	1	weight	FOC	437	nav	4_4	262	hoekig
hoekig.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall					BOW	bound	610	lex	10_10	1	weight	FOC	610	all	4_4	262	hoekig
hoekig.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav					BOW	bound	610	lex	10_10	1	selection	5000	5000	nav	4_4	262	hoekig
hoekig.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall					BOW	bound	610	lex	10_10	1	selection	5000	5000	all	4_4	262	hoekig
hoekig.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav					BOW	bound	610	lex	10_10	1	selection	FOC	437	nav	4_4	262	hoekig
hoekig.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall					BOW	bound	610	lex	10_10	1	selection	FOC	610	all	4_4	262	hoekig
hoekig.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav					BOW	bound	1053	lex	10_10	1	no	5000	5000	nav	4_4	262	hoekig
hoekig.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall					BOW	bound	1053	lex	10_10	1	no	5000	5000	all	4_4	262	hoekig
hoekig.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav					BOW	bound	1053	lex	10_10	1	no	FOC	730	nav	4_4	262	hoekig
hoekig.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall					BOW	bound	1053	lex	10_10	1	no	FOC	1053	all	4_4	262	hoekig
hoekig.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav					BOW	bound	715	all	10_10	1	weight	5000	5000	nav	4_4	263	hoekig
hoekig.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall					BOW	bound	715	all	10_10	1	weight	5000	5000	all	4_4	263	hoekig
hoekig.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav					BOW	bound	715	all	10_10	1	weight	FOC	437	nav	4_4	263	hoekig
hoekig.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall					BOW	bound	715	all	10_10	1	weight	FOC	715	all	4_4	263	hoekig
hoekig.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav					BOW	bound	715	all	10_10	1	selection	5000	5000	nav	4_4	263	hoekig
hoekig.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall					BOW	bound	715	all	10_10	1	selection	5000	5000	all	4_4	263	hoekig
hoekig.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav					BOW	bound	715	all	10_10	1	selection	FOC	437	nav	4_4	263	hoekig
hoekig.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall					BOW	bound	715	all	10_10	1	selection	FOC	715	all	4_4	263	hoekig
hoekig.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav					BOW	bound	1324	all	10_10	1	no	5000	5000	nav	4_4	263	hoekig
hoekig.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall					BOW	bound	1324	all	10_10	1	no	5000	5000	all	4_4	263	hoekig
hoekig.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav					BOW	bound	1324	all	10_10	1	no	FOC	730	nav	4_4	263	hoekig
hoekig.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall					BOW	bound	1324	all	10_10	1	no	FOC	1324	all	4_4	263	hoekig
hoekig.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav					BOW	bound	538	lex	5_5	1	weight	5000	5000	nav	4_4	258	hoekig
hoekig.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall					BOW	bound	538	lex	5_5	1	weight	5000	5000	all	4_4	258	hoekig
hoekig.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav					BOW	bound	538	lex	5_5	1	weight	FOC	376	nav	4_4	258	hoekig
hoekig.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall					BOW	bound	538	lex	5_5	1	weight	FOC	538	all	4_4	258	hoekig
hoekig.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav					BOW	bound	538	lex	5_5	1	selection	5000	5000	nav	4_4	258	hoekig
hoekig.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall					BOW	bound	538	lex	5_5	1	selection	5000	5000	all	4_4	258	hoekig
hoekig.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav					BOW	bound	538	lex	5_5	1	selection	FOC	376	nav	4_4	258	hoekig
