	LEMMAPATH	LEMMAREL	base	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	model.x	model.y	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	stress	tokens	type
huldigen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSnav	weight			LEMMAPATH	bound	460			1	weight	0.19874967642443164	-0.6031279245457021	5000	5000	nav	4_4	0.13013901078630094	229	huldigen
huldigen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall	weight			LEMMAPATH	bound	460			1	weight	0.2038594366163828	-1.1273400517657146	5000	5000	all	4_4	0.1881482280969241	229	huldigen
huldigen.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSnav	weight			LEMMAPATH	bound	460			1	weight	0.12188703977121187	-0.5581153443697071	FOC	169	nav	4_4	0.13642053969756307	229	huldigen
huldigen.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSall	weight			LEMMAPATH	bound	460			1	weight	0.17907235427502016	-0.4906854830895722	FOC	460	all	4_4	0.13902432306963294	229	huldigen
huldigen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav			BOW		bound	335	lex	10_10	1	weight			5000	5000	nav	4_4		222	huldigen
huldigen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall			BOW		bound	335	lex	10_10	1	weight			5000	5000	all	4_4		222	huldigen
huldigen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav			BOW		bound	335	lex	10_10	1	weight			FOC	218	nav	4_4		222	huldigen
huldigen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall			BOW		bound	335	lex	10_10	1	weight			FOC	335	all	4_4		222	huldigen
huldigen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav			BOW		bound	335	lex	10_10	1	selection			5000	5000	nav	4_4		222	huldigen
huldigen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall			BOW		bound	335	lex	10_10	1	selection			5000	5000	all	4_4		222	huldigen
huldigen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav			BOW		bound	335	lex	10_10	1	selection			FOC	218	nav	4_4		222	huldigen
huldigen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall			BOW		bound	335	lex	10_10	1	selection			FOC	335	all	4_4		222	huldigen
huldigen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav			BOW		bound	637	lex	10_10	1	no			5000	5000	nav	4_4		225	huldigen
huldigen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall			BOW		bound	637	lex	10_10	1	no			5000	5000	all	4_4		225	huldigen
huldigen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav			BOW		bound	637	lex	10_10	1	no			FOC	450	nav	4_4		225	huldigen
huldigen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall			BOW		bound	637	lex	10_10	1	no			FOC	637	all	4_4		225	huldigen
huldigen.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav			BOW		bound	596	all	10_10	1	weight			5000	5000	nav	4_4		230	huldigen
huldigen.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall			BOW		bound	596	all	10_10	1	weight			5000	5000	all	4_4		230	huldigen
huldigen.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav			BOW		bound	596	all	10_10	1	weight			FOC	218	nav	4_4		230	huldigen
huldigen.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall			BOW		bound	596	all	10_10	1	weight			FOC	596	all	4_4		230	huldigen
huldigen.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav			BOW		bound	596	all	10_10	1	selection			5000	5000	nav	4_4		230	huldigen
huldigen.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall			BOW		bound	596	all	10_10	1	selection			5000	5000	all	4_4		230	huldigen
huldigen.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav			BOW		bound	596	all	10_10	1	selection			FOC	218	nav	4_4		230	huldigen
huldigen.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall			BOW		bound	596	all	10_10	1	selection			FOC	596	all	4_4		230	huldigen
huldigen.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav			BOW		bound	1059	all	10_10	1	no			5000	5000	nav	4_4		230	huldigen
huldigen.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall			BOW		bound	1059	all	10_10	1	no			5000	5000	all	4_4		230	huldigen
huldigen.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav			BOW		bound	1059	all	10_10	1	no			FOC	450	nav	4_4		230	huldigen
huldigen.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall			BOW		bound	1059	all	10_10	1	no			FOC	1059	all	4_4		230	huldigen
huldigen.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav			BOW		bound	273	lex	5_5	1	weight			5000	5000	nav	4_4		213	huldigen
huldigen.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall			BOW		bound	273	lex	5_5	1	weight			5000	5000	all	4_4		213	huldigen
huldigen.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav			BOW		bound	273	lex	5_5	1	weight			FOC	179	nav	4_4		213	huldigen
huldigen.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall			BOW		bound	273	lex	5_5	1	weight			FOC	273	all	4_4		213	huldigen
huldigen.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav			BOW		bound	273	lex	5_5	1	selection			5000	5000	nav	4_4		213	huldigen
huldigen.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall			BOW		bound	273	lex	5_5	1	selection			5000	5000	all	4_4		213	huldigen
huldigen.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav			BOW		bound	273	lex	5_5	1	selection			FOC	179	nav	4_4		213	huldigen
huldigen.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall			BOW		bound	273	lex	5_5	1	selection			FOC	273	all	4_4		213	huldigen
huldigen.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav			BOW		bound	395	lex	5_5	1	no			5000	5000	nav	4_4		221	huldigen
huldigen.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall			BOW		bound	395	lex	5_5	1	no			5000	5000	all	4_4		221	huldigen
huldigen.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav			BOW		bound	395	lex	5_5	1	no			FOC	276	nav	4_4		221	huldigen
huldigen.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall			BOW		bound	395	lex	5_5	1	no			FOC	395	all	4_4		221	huldigen
huldigen.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav			BOW		bound	483	all	5_5	1	weight			5000	5000	nav	4_4		229	huldigen
huldigen.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall			BOW		bound	483	all	5_5	1	weight			5000	5000	all	4_4		229	huldigen
huldigen.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav			BOW		bound	483	all	5_5	1	weight			FOC	179	nav	4_4		229	huldigen
huldigen.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall			BOW		bound	483	all	5_5	1	weight			FOC	483	all	4_4		229	huldigen
